,filenames_Daisy,filenames_Rebecca,pearsonr
0,output_000,clip_001,1.0
1,output_001,clip_002,0.9829647475104832
2,output_002,clip_003,0.9892298565261401
3,output_003,clip_004,0.9802920168757796
4,output_004,clip_005,0.9809036186479638
5,output_005,clip_006,0.9779457734414192
6,output_006,clip_007,0.9798738046993551
7,output_007,clip_008,0.9830238744118026
8,output_008,clip_009,0.975204403591565
9,output_009,clip_010,0.9884038007502024
10,output_010,clip_011,0.9822423758766654
11,output_011,clip_012,0.9819470881409533
12,output_012,clip_013,0.9829916948335659
13,output_013,clip_014,1.0
14,output_014,clip_015,0.9852890292765741
15,output_015,clip_016,0.989617276556558
16,output_016,clip_017,0.9890209033136458
17,output_017,clip_018,0.9903238253064511
18,output_018,clip_019,0.9856175302534532
19,output_019,clip_020,0.9868177911699777
20,output_020,clip_021,0.9820994837101561
21,output_021,clip_022,0.9943073037982052
22,output_022,clip_023,0.9905783684004528
23,output_023,clip_024,0.990990645664132
24,output_024,clip_025,0.9927467020086923
25,output_025,clip_026,0.9908629573119112
26,output_026,clip_027,0.9885941446444781
27,output_027,clip_028,0.9902787165144048
28,output_028,clip_029,0.985879977150925
29,output_029,clip_030,0.9883912659561916
30,output_030,clip_031,0.9918989655408267
31,output_031,clip_032,0.9899194518217943
32,output_032,clip_033,0.9910551623973614
33,output_033,clip_034,0.9915972343509732
34,output_034,clip_035,0.986502365473354
35,output_035,clip_036,0.9845890304522187
36,output_036,clip_037,0.9916398551055767
37,output_037,clip_038,0.9919824728015404
38,output_038,clip_039,0.9876222311126255
39,output_039,clip_040,0.9896503955615091
40,output_040,clip_041,0.9887248647203246
41,output_041,clip_042,0.9868482112579409
42,output_042,clip_043,0.9917814842422135
43,output_043,clip_044,0.9910721514360075
44,output_044,clip_045,0.9877354710244423
45,output_045,clip_046,0.9912759584873092
46,output_046,clip_047,0.9906799948506586
47,output_047,clip_048,0.9926617309743079
48,output_048,clip_049,0.9893832122406068
49,output_049,clip_050,0.9914526483260527
50,output_050,clip_051,0.9879644973295969
51,output_051,clip_052,0.9881106473709604
52,output_052,clip_053,0.9918734075300747
53,output_053,clip_054,0.9789848262089162
54,output_054,clip_055,0.9762207781747299
55,output_055,clip_056,0.9870464411450799
56,output_056,clip_057,0.9875109938032631
57,output_057,clip_058,0.9882557635529527
58,output_058,clip_059,0.9861474612460199
59,output_059,clip_060,0.9900669313219618
60,output_060,clip_061,0.9902306393128691
61,output_061,clip_062,0.9913341699779402
62,output_062,clip_063,0.9791251887378077
63,output_063,clip_064,0.993300572117206
64,output_064,clip_065,0.992024614525382
65,output_065,clip_066,0.9823931543191206
66,output_066,clip_067,0.9869607854282333
67,output_067,clip_068,0.9873078653143678
68,output_068,clip_069,0.992045553308825
69,output_069,clip_070,0.9887501284657431
70,output_070,clip_071,0.9886146277695765
71,output_071,clip_072,0.9837545634140645
72,output_072,clip_073,0.9818298493095997
73,output_073,clip_074,0.9872929400088304
74,output_074,clip_075,0.9843634257504691
75,output_075,clip_076,0.9864009190852868
76,output_076,clip_077,0.9856539693648814
77,output_077,clip_078,0.9916119218982468
78,output_078,clip_079,0.9789160415736196
79,output_079,clip_080,0.9863333745378979
80,output_080,clip_081,0.9921746722085748
81,output_081,clip_082,0.9880890505966058
82,output_082,clip_083,0.9892498168177202
83,output_083,clip_084,0.9857168437166121
84,output_084,clip_085,0.9860908434008997
85,output_085,clip_086,0.984695276058721
86,output_086,clip_087,0.98419072641215
87,output_087,clip_088,0.9891949260506528
88,output_088,clip_089,0.9873193527671679
89,output_089,clip_090,0.9891838304726827
90,output_090,clip_091,0.9898710892313868
91,output_091,clip_092,0.9838534571900212
92,output_092,clip_093,0.9894259498206225
93,output_093,clip_094,0.9860725766512873
94,output_094,clip_095,0.991743929365804
95,output_095,clip_096,0.9786377140072675
96,output_096,clip_097,0.9917037789777609
97,output_097,clip_098,0.9767564600955522
98,output_098,clip_099,0.9879650919269624
99,output_099,clip_100,0.9881720024651378
100,output_100,clip_101,0.9878078130203539
101,output_101,clip_102,0.9847281516172925
102,output_102,clip_103,0.9742030579150094
103,output_103,clip_104,0.9930369216899273
104,output_104,clip_105,0.9837572165382388
105,output_105,clip_106,0.9901167559138314
106,output_106,clip_107,0.9844491440712378
107,output_107,clip_108,0.9890792198577645
108,output_108,clip_109,0.9874702727341
109,output_109,clip_110,0.98663375991701
110,output_110,clip_111,0.9847581464900763
111,output_111,clip_112,0.9840576297538591
112,output_112,clip_113,0.989492059242763
113,output_113,clip_114,0.9831344578118527
114,output_114,clip_115,0.9895912516770088
115,output_115,clip_116,0.9886017753427453
116,output_116,clip_117,0.9894078845249537
117,output_117,clip_118,0.9907909250052228
118,output_118,clip_119,0.9940459998660892
119,output_119,clip_120,0.987527866233607
120,output_120,clip_121,0.994295727014511
121,output_121,clip_122,0.9921672120347013
122,output_122,clip_123,0.991595182735494
123,output_123,clip_124,0.9813733738630553
124,output_124,clip_125,0.9915237604502015
125,output_125,clip_126,0.9951381348117212
126,output_126,clip_127,0.9953845778844163
127,output_127,clip_128,0.9941816828522964
128,output_128,clip_129,0.9958092006291807
129,output_129,clip_130,0.9938260583795635
130,output_130,clip_131,0.9948410731202473
131,output_131,clip_132,0.9943304577909206
132,output_132,clip_133,0.99261358591136
133,output_133,clip_134,0.9937173584250433
134,output_134,clip_135,0.992258469760253
135,output_135,clip_136,0.9950186730127869
136,output_136,clip_137,0.9921200220828333
137,output_137,clip_138,0.9928513955742586
138,output_138,clip_139,0.9955118301020831
139,output_139,clip_140,0.9931566432899223
140,output_140,clip_141,0.9932676444235498
141,output_141,clip_142,0.9931814630273275
142,output_142,clip_143,0.9913490388523304
143,output_143,clip_144,0.9944429925521716
144,output_144,clip_145,0.994337317260406
145,output_145,clip_146,0.9923308802355335
146,output_146,clip_147,0.992486673428309
147,output_147,clip_148,0.9938661604921708
148,output_148,clip_149,0.9948862648438673
149,output_149,clip_150,0.9964702166966235
150,output_150,clip_151,0.9938743273094616
151,output_151,clip_152,0.9931002468481758
152,output_152,clip_153,0.9927691056124034
153,output_153,clip_154,0.9871734753511364
154,output_154,clip_155,0.9965671355182913
155,output_155,clip_156,0.9889490853404792
156,output_156,clip_157,0.9959070326434343
157,output_157,clip_158,0.9929914535847614
158,output_158,clip_159,0.9840816739867613
159,output_159,clip_160,0.9920627709547295
160,output_160,clip_161,0.992637534758762
161,output_161,clip_162,0.9882505715688649
162,output_162,clip_163,0.9906250566197872
163,output_163,clip_164,0.990339562570064
164,output_164,clip_165,1.0
165,output_165,clip_166,0.9921381640640377
166,output_166,clip_167,0.9933797352239334
167,output_167,clip_168,0.9896917845710002
168,output_168,clip_169,0.9806750875595934
169,output_169,clip_170,0.9889368799489987
170,output_170,clip_171,0.9836965999424226
171,output_171,clip_172,0.9862123559053896
172,output_172,clip_173,0.9855822958770264
173,output_173,clip_174,0.9855155204789934
174,output_174,clip_175,0.989657000280301
175,output_175,clip_176,0.981466409859175
176,output_176,clip_177,0.9859456619594814
177,output_177,clip_178,0.9827437352574677
178,output_178,clip_179,0.9776779350159106
179,output_179,clip_180,0.9918471816071583
180,output_180,clip_181,0.9946240085167077
181,output_181,clip_182,0.9901937094749774
182,output_182,clip_183,0.9936806074932717
183,output_183,clip_184,0.9917178548836006
184,output_184,clip_185,0.9895931149788646
185,output_185,clip_186,0.9963239065207303
186,output_186,clip_187,0.9783520475403199
187,output_187,clip_188,0.9812008447141141
188,output_188,clip_189,0.9907863407576979
189,output_189,clip_190,0.9878746588213664
190,output_190,clip_191,0.9872349605164009
191,output_191,clip_192,0.9889446800682468
192,output_192,clip_193,0.9964579476142895
193,output_193,clip_194,0.984885883979037
194,output_194,clip_195,0.9971752353120484
