,camera_cut,drift_1,drift_2,drift_3,drift_4,drift_5,drift_6,drift_7,drift_8,drift_9,drift_10,drift_11,drift_12,drift_13,drift_14,drift_15,drift_16,drift_17,drift_18,constant
0,0.0,0.06666626051051935,0.06666504204702632,0.06666301129103414,0.06666016826728695,0.06665651301042608,0.0666520455649897,0.0666467659854122,0.06664067433602362,0.06663377069104877,0.06662605513460639,0.06661752776070808,0.06660818867325723,0.06659803798604765,0.06658707582276227,0.06657530231697159,0.06656271761213206,0.06654932186158435,0.06653511522855143,1.0
2,0.0,0.06666301129103414,0.0666520455649897,0.06663377069104877,0.06660818867325723,0.06657530231697159,0.06653511522855143,0.06648763181496387,0.06643285728330028,0.06637079764020533,0.06630145969121821,0.06622485104002643,0.06614098008763186,0.06604985603142957,0.06595148886419921,0.06584588937300918,0.06573306913803366,0.06561304053128279,0.06548581671524592,1.0
4,0.01958655843831909,0.06665651301042608,0.06662605513460639,0.06657530231697159,0.0665042700173216,0.06641297987278304,0.06630145969121821,0.0661697434427548,0.06601787124943802,0.06584588937300918,0.06565385020081387,0.06544181222984427,0.06520984004892037,0.06495800431901569,0.0646863817517331,0.06439505508593789,0.0640841130625546,0.0637536503975357,0.06340376775301024,1.0
6,0.256813470002598,0.0666467659854122,0.06658707582276227,0.06648763181496387,0.06634849333212207,0.0661697434427548,0.06595148886419921,0.06569385989889934,0.06539701035661277,0.06506111746258317,0.0646863817517331,0.06427302694894067,0.06382129983547115,0.0633314701016435,0.06280383018581978,0.062238695099813446,0.06163640224082088,0.06099731118998832,0.06032180349773464,1.0
8,0.6643205770280595,0.06663377069104877,0.06653511522855143,0.06637079764020533,0.06614098008763186,0.06584588937300918,0.06548581671524592,0.06506111746258317,0.06457221074190873,0.06401957904512953,0.06340376775301024,0.06272538459694836,0.06198509905921676,0.06118364171226541,0.06032180349773463,0.059400434945891194,0.05842044533625757,0.05738280180026291,0.056288528366801004,1.0
10,0.96870445436506,0.06661752776070808,0.06647018348179468,0.06622485104002643,0.06588189209643686,0.06544181222984427,0.06490526019154402,0.06427302694894067,0.0635460445195298,0.06272538459694836,0.06181225697111916,0.060808007744818204,0.059714117349294195,0.05853219836186537,0.057263993128710965,0.0559113711963616,0.054476326555675234,0.052960974702361205,0.05136754951838595,1.0
12,1.1099135859311304,0.06659803798604765,0.06639229324106469,0.06604985603142957,0.06557143138755905,0.06495800431901569,0.06421083778651054,0.0633314701016435,0.0623217117597343,0.06118364171226541,0.05991960308661114,0.05853219836186537,0.05702428401070044,0.05539896461828855,0.053659586490394276,0.05180973076379806,0.04985320603323545,0.047794040510032186,0.04563647372857924,1.0
14,1.1447160920089536,0.06657530231697159,0.06630145969121821,0.06584588937300918,0.06520984004892037,0.06439505508593789,0.06340376775301024,0.062238695099813446,0.060903030509506725,0.059400434945891194,0.057735026918962574,0.0559113711963616,0.05393446629166316,0.05180973076379806,0.049542988365159614,0.04714045207910316,0.044608707090590546,0.041954692736655835,0.03918568348616487,1.0
16,1.1274174178249687,0.06654932186158435,0.06619770054043579,0.06561304053128279,0.06479740003856975,0.06375365039753571,0.06248546596612609,0.060997311189988315,0.0592944248860865,0.05738280180026291,0.055269171503669445,0.052960974702361205,0.050466337043450424,0.047794040510032186,0.04495349250558156,0.041954692736655835,0.03880819801048596,0.035525085071381995,0.03211691160678102,1.0
18,1.091766687706031,0.06652009788613666,0.06608103601676944,0.06535141164144813,0.06433443296482076,0.06303457170662112,0.06145754343923337,0.05961028245595788,0.05750091128048383,0.05513870495163745,0.05253405024044813,0.049698399978857485,0.046644222700891025,0.043384947817723396,0.03993490656770572,0.036309269001001815,0.032523977275915515,0.028595675560209723,0.024541636845645205,1.0
20,1.0569235924622595,0.06648763181496387,0.06595148886419921,0.06506111746258317,0.06382129983547115,0.062238695099813446,0.06032180349773463,0.05808092074134596,0.05552808271400663,0.05267700082504602,0.049542988365159614,0.04614287825802712,0.042494932649912644,0.03861874482284525,0.034535133958208675,0.030266033315969786,0.025834372430140196,0.021263953953204653,0.016579325810990315,1.0
22,1.031134246186722,0.06645192523041647,0.0658090843381992,0.06474228532730907,0.06325840077629977,0.06136699023016269,0.05908023861541432,0.0564128777418376,0.05338209139658223,0.050007404642030635,0.046310558030599816,0.04231536754681784,0.03804757117896211,0.03353466310868235,0.02880571658679882,0.023891196636353345,0.018822763789525097,0.01363307012278603,0.00835554890428695,1.0
24,1.0152448417354651,0.06641297987278304,0.06565385020081387,0.06439505508593789,0.06264617471906056,0.06042051913577666,0.05773502691896258,0.05461013628593279,0.0510696295412652,0.04714045207910317,0.04285250731243596,0.03823842909006974,0.03333333333333334,0.028174550782713297,0.022801342888377922,0.017254603006834717,0.01157654517779536,0.005810382849843891,4.082155997157844e-18,1.0
26,1.0067475849707135,0.06637079764020533,0.06548581671524592,0.06401957904512953,0.06198509905921676,0.059400434945891194,0.056288528366801004,0.05267700082504602,0.04859790849476077,0.04408745768824345,0.03918568348616487,0.03393609438335808,0.028385286104338176,0.02258252801635275,0.016579325810990315,0.01042896433601538,0.004186034635287553,-0.0020940506052085518,-0.008355548904286959,1.0
28,1.0027003325796102,0.06632538058858588,0.06530501663995628,0.06361602190108513,0.061275689283682294,0.05830798047595972,0.0547432806089136,0.05061808715565872,0.04597463624904465,0.04086047024353177,0.035327950948880325,0.02943372351944968,0.02323813648812102,0.01680462388287424,0.010199055752269207,0.003489063749529583,-0.0032566513197075514,-0.009969022896247296,-0.016579325810990322,1.0
30,1.0009514439675509,0.0662767309314877,0.06511148522227786,0.06318456066730571,0.06051849856886058,0.057144486713474156,0.05310199453494641,0.048438311398065065,0.04320799340420872,0.03747222519014204,0.03129810418572606,0.024757855703348996,0.017927988041017712,0.010888397482774821,0.0037214336662109294,-0.0034890637495295896,-0.010658745846122319,-0.017703741165787247,-0.0245416368456452,1.0
32,1.0002560911427536,0.06622485104002643,0.06490526019154402,0.06272538459694836,0.059714117349294195,0.0559113711963616,0.051367549518385944,0.04614287825802712,0.04030660765749165,0.03393609438335808,0.027115776205053347,0.019936052817072447,0.012492087639048301,0.004882546475175442,-0.002791710248613308,-0.010428964336015402,-0.01792798804101772,-0.02518938578789781,-0.032116911606781026,1.0
34,0.9999999999999998,0.0661697434427548,0.0646863817517331,0.062238695099813446,0.0588631728572618,0.05461013628593279,0.049542988365159614,0.04373726859936715,0.03727952689804979,0.030266033315969786,0.022801342888377922,0.014996736956257662,0.0069685642178435635,-0.0011634937624855652,-0.009278206730671038,-0.017254603006834724,-0.024973772894394137,-0.0323206413497558,-0.03918568348616487,1.0
36,0.9999999999999998,0.06611141082553935,0.06445489257363063,0.06172470565399965,0.057966328633681265,0.053242367336486185,0.04763151197552022,0.041227226357170264,0.03413619099137143,0.026476526042318704,0.018375823721133278,0.009969022896247291,0.001396161325557122,-0.007199957047068196,-0.01567614087350602,-0.023891196636353366,-0.03170828060468502,-0.038997178332481036,-0.04563647372857925,1.0
38,0.9999999999999998,0.06604985603142957,0.06421083778651054,0.06118364171226541,0.05702428401070044,0.05180973076379806,0.04563647372857924,0.038618744822845254,0.03088640234132412,0.022582528016352764,0.01386077938785063,0.004882546475175457,-0.00418603463528756,-0.013177156025275076,-0.021924443115905544,-0.03026603331596978,-0.038047571178962104,-0.04512506464551071,-0.051367549518385944,1.0
40,0.9999999999999998,0.06598508206051927,0.06395426496933716,0.0606157406031379,0.05603777356637895,0.050313972014851466,0.043561373599340356,0.03591805233379087,0.027540295321636116,0.01859940706928195,0.009278206730671031,-0.00023271009434824505,-0.00973886857082745,-0.019045891160331577,-0.02796347216307848,-0.03630926900100181,-0.043912630674578707,-0.05061808715565872,-0.056288528366801004,1.0
42,0.9999999999999998,0.06591709206980038,0.06368522414148957,0.0600212514268129,0.05500756655188634,0.04875691344127803,0.041409852018554016,0.033131597401837014,0.02410830467213948,0.014542882759769499,0.004650431582941682,-0.0053465949552572644,-0.0152233913407104,-0.024757855703349003,-0.03373558427474426,-0.04195469273665584,-0.04923035604172559,-0.055398964618288554,-0.06032180349773464,1.0
44,0.9999999999999998,0.06584588937300918,0.06340376775301024,0.059400434945891194,0.05393446629166316,0.04714045207910317,0.03918568348616488,0.030266033315969786,0.02060113295832983,0.010428964336015395,4.082155997157844e-18,-0.010428964336015388,-0.020601132958329823,-0.03026603331596978,-0.03918568348616487,-0.04714045207910316,-0.05393446629166315,-0.05940043494589119,-0.06340376775301024,1.0
46,0.9999999999999998,0.06577147744046462,0.06310995067437976,0.05875356347099948,0.052819309557012716,0.0454665573374999,0.03689276994955627,0.02732820225610485,0.017029717195719368,0.006273887554567619,-0.004650431582941689,-0.015449860232943823,-0.0258343724301402,-0.035525085071382,-0.04426174751014944,-0.05180973076379806,-0.057966328633681265,-0.06256620151730373,-0.06548581671524592,1.0
48,0.9999999999999998,0.06569385989889934,0.06280383018581978,0.05808092074134596,0.05166296591361197,0.04373726859936715,0.034535133958208675,0.02432511895584131,0.013405194743064305,0.002094050605208545,-0.009278206730671038,-0.020379686997540388,-0.030886402341324126,-0.04049172264821912,-0.04891532430019176,-0.05591137119636161,-0.0612756892836823,-0.06485172521395977,-0.06653511522855143,1.0
50,0.9999999999999998,0.06561304053128279,0.06248546596612609,0.05738280180026291,0.050466337043450424,0.041954692736655835,0.03211691160678102,0.02126395395320467,0.009738868570827444,-0.0020940506052085518,-0.013860779387850623,-0.02518938578789781,-0.0357217863319331,-0.04512506464551071,-0.05310199453494641,-0.05940043494589119,-0.06382129983547115,-0.06622485104002643,-0.06653511522855143,1.0
52,0.9999999999999998,0.06552902327663696,0.06215492008103415,0.056659512865790934,0.049230356041725584,0.040121001543469884,0.029642345278995168,0.018152016469371625,0.006042172013185341,-0.006273887554567625,-0.018375823721133284,-0.029850605855917974,-0.04030660765749165,-0.04938697308578333,-0.05678179560953651,-0.062238695099813446,-0.06557143138755905,-0.06666626051051935,-0.0654858167152459,1.0
54,0.9999999999999998,0.06544181222984427,0.06181225697111916,0.0559113711963616,0.047955986689243404,0.038238429090069734,0.027115776205053347,0.014996736956257662,0.0023266331135000573,-0.010428964336015402,-0.02280134288837793,-0.034335871660670286,-0.044608707090590546,-0.05324236733648619,-0.05991960308661114,-0.06439505508593789,-0.06650427001732162,-0.0661697434427548,-0.06340376775301024,1.0
56,0.9999999999999998,0.06535141164144813,0.06145754343923337,0.05513870495163745,0.046644222700891025,0.03630926900100181,0.024541636845645205,0.011805649354638893,-0.0013961613255571285,-0.014542882759769504,-0.02711577620505335,-0.03861874482284526,-0.048597908494760755,-0.05665951286579091,-0.06248546596612609,-0.06584588937300917,-0.06660818867325723,-0.06474228532730907,-0.06032180349773463,1.0
58,0.9999999999999998,0.06525782591744567,0.06109084863748264,0.05434185304857028,0.04529608695076777,0.03433587166067028,0.02192444311590555,0.008586373105170854,-0.005114601875121246,-0.018599407069281954,-0.03129810418572606,-0.04267397996566371,-0.05224623048838931,-0.059610282455957876,-0.06445489257363063,-0.06657530231697159,-0.06588189209643686,-0.06240396904926488,-0.056288528366801,1.0
60,0.9999999999999998,0.06516105961907306,0.06071224405374514,0.05352116501274097,0.0439126306745787,0.03232064134975579,0.019268786462964774,0.005346594955257258,-0.008817092683808172,-0.022582528016352767,-0.03532795094888034,-0.04647767352363765,-0.05552808271400663,-0.06207038772416855,-0.0658090843381992,-0.06657530231697159,-0.06433443296482076,-0.05918769234242675,-0.05136754951838594,1.0
62,0.9999999999999998,0.06506111746258317,0.06032180349773464,0.05267700082504602,0.04249493264991265,0.030266033315969786,0.016579325810990315,0.0020940506052085596,-0.012492087639048306,-0.02647652604231871,-0.03918568348616487,-0.050007404642030635,-0.05842044533625757,-0.06401957904512953,-0.06653511522855143,-0.06584588937300918,-0.061985099059216765,-0.05513870495163745,-0.04563647372857924,1.0
64,0.9999999999999998,0.06495800431901569,0.05991960308661114,0.05180973076379806,0.041044098355043884,0.028174550782713297,0.013860779387850615,-0.0011634937624855652,-0.016128126373311187,-0.03026603331596978,-0.04285250731243596,-0.05324236733648619,-0.06090303050950673,-0.06544181222984427,-0.06662605513460639,-0.06439505508593789,-0.05886317285726179,-0.05031397201485146,-0.039185683486164885,1.0
66,0.9999999999999998,0.06485172521395977,0.059505721230141695,0.05091973524230948,0.03956125910691343,0.026048741899284914,0.011117916447740156,-0.004418260026666663,-0.01971387000293644,-0.03393609438335809,-0.04631055803059982,-0.05616349313380983,-0.06295842468249874,-0.06632538058858588,-0.06608103601676946,-0.06223869509981345,-0.05500756655188635,-0.044781372621532686,-0.03211691160678102,1.0
68,0.9999999999999998,0.06474228532730907,0.05908023861541432,0.050007404642030635,0.03804757117896211,0.023891196636353345,0.00835554890428695,-0.007662476699524432,-0.023238136488121012,-0.037472225190142046,-0.04954298836515962,-0.05875356347099948,-0.06457221074190873,-0.06666301129103414,-0.06490526019154402,-0.059400434945891194,-0.050466337043450424,-0.03861874482284525,-0.024541636845645188,1.0
70,0.9999999999999998,0.06462968999300926,0.05864323819110776,0.04907313914131562,0.036504214899503354,0.0217045436304771,0.00557852288882103,-0.010888397482774814,-0.026689935503793002,-0.040860470243531774,-0.05253405024044814,-0.060997311189988315,-0.06573306913803366,-0.06645192523041647,-0.06310995067437976,-0.0559113711963616,-0.045296086950767755,-0.0319127905293738,-0.016579325810990295,1.0
