,presence/absence of camera_cuts
0,0.0
1,0.0
2,0.019130351982152304
3,0.25510521548559695
4,0.6437277151964778
5,0.7320737881661148
6,0.7019861942262967
7,0.8395227102443199
8,0.9857490287523936
9,1.0567906417812978
10,1.0741721324511726
11,1.0667759029936104
12,1.0500835232365417
13,1.0325256179173936
14,1.018573842324082
15,1.0094337529230992
16,1.0042923574254008
17,1.001743777739173
18,1.000692592623396
19,1.000252994730261
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,0.9808696480178477
27,0.7640251364965555
28,0.5731167963248146
29,0.43970420002347377
30,0.19545153857159966
31,-0.0030229004854788366
32,-0.09246517418624448
33,-0.08990841034815009
34,0.14340207038041047
35,0.36091520320739195
36,0.5192820164896907
37,0.7819352564091788
38,0.9727150178410544
39,0.8323750086518507
40,0.44418392268223844
41,0.12383154883007856
42,-0.04402404018179737
43,-0.08456915926626138
44,0.13114864552050232
45,0.3271654917580881
46,0.2724076258037914
47,0.3485606596339853
48,0.4282027997749368
49,0.3005713316822876
50,0.3584317122375903
51,0.6620200987617624
52,0.9247248950767895
53,1.0581800362831313
54,1.1013584992866776
55,1.0976031701776006
56,1.0741366356267925
57,1.047717502525249
58,1.026809013163263
59,0.9943427636360866
60,0.7700612716611291
61,0.5946835186695361
62,0.6957550028627278
63,0.8585626004804907
64,0.9650257511840806
65,1.0172738717330854
66,1.0356745324049468
67,1.0348666298791298
68,1.0257968901294237
69,1.0158844772312516
70,1.008488165569442
71,1.0040393626951398
72,1.001743777739173
73,0.9815622406412439
74,0.7642781312268165
75,0.5731167963248146
76,0.458834552005626
77,0.45055675405719653
78,0.6598351666931511
79,0.8755834774833149
80,1.0007002835890275
81,1.0521405016122152
82,1.0614714225343707
83,1.0507511071103814
84,1.0342850556988656
85,1.0199238399263915
86,1.0102319433086149
87,1.0047319553185359
88,1.0019967724694339
89,1.000692592623396
90,1.000252994730261
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,0.9808696480178477
97,0.7640251364965555
98,0.5922471483069669
99,0.6948094155090705
100,0.8583096057502296
101,0.9650257511840806
102,0.998143519750933
103,0.7996996689015023
104,0.6079834262039444
105,0.48463144213504966
106,0.447310879306296
107,0.41321811677699627
108,0.21676477299982472
109,0.053525761640793215
110,0.1790689118197261
111,0.32476397422241543
112,0.22850226859914705
113,0.10334091133357125
114,0.23397469152766825
115,0.3887399046620513
116,0.4950059775505512
117,0.5289750127272901
118,0.5674763861935882
119,0.7706975198406671
120,0.958607207780829
121,1.053559181611975
122,1.0814980944617059
123,1.075995723268386
124,1.0572268401680902
125,1.0369744207916958
126,1.0208694272800487
127,1.0104849380388758
128,1.0047319553185359
129,1.0019967724694339
130,1.000692592623396
131,1.000252994730261
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.9808696480178477
139,0.7640251364965555
140,0.5922471483069669
141,0.6948094155090705
142,0.8583096057502296
143,0.9650257511840806
144,0.998143519750933
145,0.7996996689015023
146,0.6271137781860967
147,0.7206063056384943
148,0.8741940829814814
149,0.9735139167535225
150,1.021313234428225
151,1.0374183101441197
152,1.0164288705203737
153,0.7900750213562402
154,0.6081316255382186
155,0.7032975810785126
156,0.8623489684453695
157,0.9667695289232534
158,1.0179664643564814
159,1.035927527135208
160,1.0348666298791298
161,1.0257968901294237
162,1.0158844772312516
163,1.008488165569442
164,1.0040393626951398
165,1.001743777739173
166,1.000692592623396
167,1.000252994730261
168,0.9808696480178477
169,0.7448947845144032
170,0.35627228480352235
171,0.2870565638160375
172,0.5531190212593002
173,0.8233353569343103
174,0.9631692709350136
175,0.8169735406345875
176,0.6436579586088913
177,0.5003677200320271
178,0.2562632579144274
179,0.27645495780081186
180,0.563790069274815
181,0.6096878142879728
182,0.3758749079623871
183,0.34761709345499825
184,0.40382279200144505
185,0.46560383883712025
186,0.46772455299645477
187,0.27451636324949846
188,0.08073838268657572
189,-0.02576551901311732
190,-0.045790672624905576
191,0.18785065251691374
192,0.590540237723527
193,0.6777127931314396
194,0.44583449606619957
195,0.4215379152426718
196,0.6566961369607759
197,0.6579982595764964
198,0.375647223833227
199,0.11574812832687534
200,-0.023980990277841258
201,-0.07732104693872588
202,-0.06393833856650608
203,0.1695282030605785
204,0.38276546595194094
205,0.5158472178400231
206,0.5366627229479607
207,0.35351204485468857
208,0.3770853676397129
209,0.6612121962359454
210,0.9156551553270833
211,1.0482676233849593
212,1.0748318356427153
213,0.8380491518177013
214,0.4089829834921956
215,0.0977480177220653
216,0.15260523285424255
217,0.2953900298279141
218,0.4388925121389361
219,0.6960895892116
220,0.7110953636176043
221,0.6538639466348088
222,0.7695009324998088
223,0.7081788075818494
224,0.6205515348660107
225,0.7521514833753342
226,0.916344348444137
227,0.9919395597433303
228,0.8120808484078613
229,0.6458029304125995
230,0.7388568035810386
231,0.8883988533050541
232,0.963523654172353
233,0.790479766422479
234,0.6322140381373146
235,0.7314198231273734
236,0.8847990885030494
237,0.9811632231455933
238,1.0257620373025274
239,1.0397138951000864
240,1.0366104076183027
241,1.0073591307706673
242,0.7801626084580683
243,0.600735313876409
244,0.6988487782042103
245,0.8600533834894025
246,0.9465879918253245
247,0.7815520029599018
248,0.6087913287297614
249,0.49370118188475576
250,0.47635364418662024
251,0.6565892919422507
252,0.62896642756716
253,0.3610119310876895
254,0.34094084316742546
255,0.5961526844349145
256,0.6383645952715082
257,0.6088318269229984
258,0.7676816595734943
259,0.9199523593607688
260,0.7944463630077254
261,0.6340688078880092
262,0.5195743198346627
263,0.4790735549490168
264,0.45544033375344284
265,0.4670211214019504
266,0.4689685885177526
267,0.5069896130948124
268,0.7039200149845423
269,0.6910523137136482
270,0.6083551303429686
271,0.5308988935442327
272,0.522260119900182
273,0.7153182291220687
274,0.9118653056516146
275,1.0021863641566628
276,0.8075202241654942
277,0.4224756626564288
278,0.33980444339585303
279,0.5880966695815621
280,0.8435121915909627
281,0.9925315662257808
282,1.057680359456568
283,1.0725379347535107
284,1.0613561126319497
285,1.0419343620909363
286,1.0243726428006936
287,1.0125275282645818
288,1.0057831404343127
289,1.0024363703625692
290,1.0009455873536572
291,1.000252994730261
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,0.9808696480178477
298,0.7640251364965555
299,0.5922471483069669
300,0.6756790635269183
301,0.6223347422467851
302,0.5381425475088952
303,0.4761084237387113
304,0.4862312864621434
305,0.6947017965722809
306,0.9013803676127385
307,1.0165847608202792
308,1.060628667181657
309,1.0655107852295105
310,1.0524948848495543
311,1.034977648322262
312,1.0201768346566527
313,1.0102319433086149
314,1.0047319553185359
315,1.0019967724694339
316,1.000692592623396
317,1.000252994730261
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
