,presence/absence of scene_cuts
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.019130351982152304
28,0.2359748635034446
29,0.4077528516930331
30,0.3051905844909294
31,0.14169039424977037
32,0.034974248815919456
33,-0.017273871733085294
34,-0.03567453240494683
35,-0.03486662987912979
36,-0.02579689012942365
37,-0.015884477231251762
38,-0.008488165569442003
39,-0.004039362695139747
40,-0.0017437777391729119
41,-0.0006925926233961772
42,-0.00025299473026104525
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.019130351982152304
73,0.2359748635034446
74,0.4077528516930331
75,0.3051905844909294
76,0.14169039424977037
77,0.034974248815919456
78,-0.017273871733085294
79,-0.03567453240494683
80,-0.03486662987912979
81,-0.02579689012942365
82,-0.015884477231251762
83,-0.008488165569442003
84,-0.004039362695139747
85,-0.0017437777391729119
86,-0.0006925926233961772
87,-0.00025299473026104525
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.019130351982152304
101,0.2359748635034446
102,0.4077528516930331
103,0.3051905844909294
104,0.14169039424977037
105,0.034974248815919456
106,-0.017273871733085294
107,-0.03567453240494683
108,-0.03486662987912979
109,-0.02579689012942365
110,-0.015884477231251762
111,-0.008488165569442003
112,-0.004039362695139747
113,-0.0017437777391729119
114,-0.0006925926233961772
115,-0.00025299473026104525
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.019130351982152304
202,0.2359748635034446
203,0.4077528516930331
204,0.3051905844909294
205,0.14169039424977037
206,0.034974248815919456
207,-0.017273871733085294
208,-0.03567453240494683
209,-0.03486662987912979
210,-0.02579689012942365
211,-0.015884477231251762
212,-0.008488165569442003
213,-0.004039362695139747
214,-0.0017437777391729119
215,-0.0006925926233961772
216,-0.00025299473026104525
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.019130351982152304
247,0.2359748635034446
248,0.4077528516930331
249,0.3051905844909294
250,0.14169039424977037
251,0.034974248815919456
252,-0.017273871733085294
253,-0.03567453240494683
254,-0.03486662987912979
255,-0.02579689012942365
256,-0.015884477231251762
257,-0.008488165569442003
258,-0.004039362695139747
259,-0.0017437777391729119
260,-0.0006925926233961772
261,-0.00025299473026104525
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.019130351982152304
304,0.2359748635034446
305,0.4077528516930331
306,0.3051905844909294
307,0.14169039424977037
308,0.034974248815919456
309,-0.017273871733085294
310,-0.03567453240494683
311,-0.03486662987912979
312,-0.02579689012942365
313,-0.015884477231251762
314,-0.008488165569442003
315,-0.004039362695139747
316,-0.0017437777391729119
317,-0.0006925926233961772
318,-0.00025299473026104525
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.019130351982152304
330,0.2359748635034446
331,0.4077528516930331
332,0.3051905844909294
333,0.14169039424977037
334,0.034974248815919456
335,-0.017273871733085294
336,-0.03567453240494683
337,-0.03486662987912979
338,-0.02579689012942365
339,-0.015884477231251762
340,-0.008488165569442003
341,-0.004039362695139747
342,-0.0017437777391729119
343,-0.0006925926233961772
344,-0.00025299473026104525
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.019130351982152304
358,0.2359748635034446
359,0.4077528516930331
360,0.3051905844909294
361,0.14169039424977037
362,0.034974248815919456
363,-0.017273871733085294
364,-0.03567453240494683
365,-0.03486662987912979
366,-0.02579689012942365
367,-0.015884477231251762
368,-0.008488165569442003
369,-0.004039362695139747
370,-0.0017437777391729119
371,-0.0006925926233961772
372,-0.00025299473026104525
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
