,onset,duration,amplitude
0,0,2,0
1,2,2,1
2,4,2,1
3,6,2,0
4,8,2,1
5,10,2,1
6,12,2,1
7,14,2,1
8,16,2,1
9,18,2,1
10,20,2,1
11,22,2,1
12,24,2,1
13,26,2,1
14,28,2,1
15,30,2,1
16,32,2,1
17,34,2,1
18,36,2,1
19,38,2,1
20,40,2,1
21,42,2,1
22,44,2,1
23,46,2,1
24,48,2,1
25,50,2,0
26,52,2,1
27,54,2,0
28,56,2,0
29,58,2,0
30,60,2,0
31,62,2,0
32,64,2,1
33,66,2,0
34,68,2,1
35,70,2,1
36,72,2,1
37,74,2,0
38,76,2,0
39,78,2,0
40,80,2,0
41,82,2,0
42,84,2,1
43,86,2,0
44,88,2,0
45,90,2,1
46,92,2,0
47,94,2,0
48,96,2,1
49,98,2,1
50,100,2,1
51,102,2,1
52,104,2,1
53,106,2,1
54,108,2,1
55,110,2,1
56,112,2,1
57,114,2,1
58,116,2,0
59,118,2,1
60,120,2,1
61,122,2,1
62,124,2,1
63,126,2,1
64,128,2,1
65,130,2,1
66,132,2,1
67,134,2,1
68,136,2,1
69,138,2,1
70,140,2,1
71,142,2,1
72,144,2,0
73,146,2,1
74,148,2,0
75,150,2,1
76,152,2,1
77,154,2,1
78,156,2,1
79,158,2,1
80,160,2,1
81,162,2,1
82,164,2,1
83,166,2,1
84,168,2,1
85,170,2,1
86,172,2,1
87,174,2,1
88,176,2,1
89,178,2,1
90,180,2,1
91,182,2,1
92,184,2,1
93,186,2,1
94,188,2,1
95,190,2,0
96,192,2,1
97,194,2,1
98,196,2,1
99,198,2,1
100,200,2,1
101,202,2,0
102,204,2,1
103,206,2,0
104,208,2,1
105,210,2,0
106,212,2,0
107,214,2,0
108,216,2,1
109,218,2,0
110,220,2,0
111,222,2,0
112,224,2,1
113,226,2,0
114,228,2,1
115,230,2,0
116,232,2,1
117,234,2,1
118,236,2,1
119,238,2,1
120,240,2,1
121,242,2,1
122,244,2,1
123,246,2,1
124,248,2,1
125,250,2,1
126,252,2,1
127,254,2,1
128,256,2,1
129,258,2,1
130,260,2,1
131,262,2,1
132,264,2,1
133,266,2,1
134,268,2,1
135,270,2,1
136,272,2,1
137,274,2,0
138,276,2,1
139,278,2,1
140,280,2,1
141,282,2,1
142,284,2,1
143,286,2,0
144,288,2,1
145,290,2,1
146,292,2,1
147,294,2,1
148,296,2,1
149,298,2,1
150,300,2,1
151,302,2,0
152,304,2,1
153,306,2,1
154,308,2,1
155,310,2,1
156,312,2,1
157,314,2,1
158,316,2,1
159,318,2,1
160,320,2,1
161,322,2,1
162,324,2,1
163,326,2,1
164,328,2,1
165,330,2,1
166,332,2,1
167,334,2,0
168,336,2,0
169,338,2,1
170,340,2,1
171,342,2,1
172,344,2,1
173,346,2,0
174,348,2,1
175,350,2,0
176,352,2,0
177,354,2,1
178,356,2,1
179,358,2,0
180,360,2,0
181,362,2,1
182,364,2,0
183,366,2,1
184,368,2,0
185,370,2,0
186,372,2,0
187,374,2,0
188,376,2,0
189,378,2,1
190,380,2,1
191,382,2,0
192,384,2,0
193,386,2,1
194,388,2,1
195,390,2,0
196,392,2,0
197,394,2,0
198,396,2,0
199,398,2,0
200,400,2,0
201,402,2,1
202,404,2,0
203,406,2,1
204,408,2,0
205,410,2,0
206,412,2,1
207,414,2,1
208,416,2,1
209,418,2,1
210,420,2,1
211,422,2,0
212,424,2,0
213,426,2,0
214,428,2,1
215,430,2,0
216,432,2,1
217,434,2,1
218,436,2,0
219,438,2,1
220,440,2,1
221,442,2,0
222,444,2,1
223,446,2,1
224,448,2,1
225,450,2,1
226,452,2,0
227,454,2,1
228,456,2,1
229,458,2,1
230,460,2,1
231,462,2,0
232,464,2,1
233,466,2,1
234,468,2,1
235,470,2,1
236,472,2,1
237,474,2,1
238,476,2,1
239,478,2,1
240,480,2,0
241,482,2,1
242,484,2,1
243,486,2,1
244,488,2,1
245,490,2,0
246,492,2,1
247,494,2,0
248,496,2,1
249,498,2,1
250,500,2,0
251,502,2,0
252,504,2,1
253,506,2,1
254,508,2,0
255,510,2,1
256,512,2,1
257,514,2,1
258,516,2,0
259,518,2,1
260,520,2,0
261,522,2,1
262,524,2,0
263,526,2,1
264,528,2,0
265,530,2,1
266,532,2,1
267,534,2,0
268,536,2,1
269,538,2,0
270,540,2,1
271,542,2,1
272,544,2,1
273,546,2,1
274,548,2,0
275,550,2,0
276,552,2,1
277,554,2,1
278,556,2,1
279,558,2,1
280,560,2,1
281,562,2,1
282,564,2,1
283,566,2,1
284,568,2,1
285,570,2,1
286,572,2,1
287,574,2,1
288,576,2,1
289,578,2,1
290,580,2,1
291,582,2,1
292,584,2,1
293,586,2,1
294,588,2,1
295,590,2,1
296,592,2,0
297,594,2,1
298,596,2,1
299,598,2,0
300,600,2,1
301,602,2,0
302,604,2,1
303,606,2,1
304,608,2,1
305,610,2,1
306,612,2,1
307,614,2,1
308,616,2,1
309,618,2,1
310,620,2,1
311,622,2,1
312,624,2,1
313,626,2,1
314,628,2,1
315,630,2,1
316,632,2,1
317,634,2,1
318,636,2,1
319,638,2,1
320,640,2,1
321,642,2,1
322,644,2,1
323,646,2,1
324,648,2,1
325,650,2,1
326,652,2,1
327,654,2,1
328,656,2,1
329,658,2,1
330,660,2,0
331,662,2,1
332,664,2,1
333,666,2,1
334,668,2,1
335,670,2,1
336,672,2,0
337,674,2,1
338,676,2,1
339,678,2,1
340,680,2,1
341,682,2,1
342,684,2,1
343,686,2,1
344,688,2,1
345,690,2,1
346,692,2,1
347,694,2,1
348,696,2,1
349,698,2,1
350,700,2,1
351,702,2,1
352,704,2,1
353,706,2,0
354,708,2,0
355,710,2,0
356,712,2,1
357,714,2,1
358,716,2,1
359,718,2,1
360,720,2,0
361,722,2,1
362,724,2,1
363,726,2,1
364,728,2,1
365,730,2,1
366,732,2,1
367,734,2,1
368,736,2,1
369,738,2,1
370,740,2,1
371,742,2,1
372,744,2,1
373,746,2,1
374,748,2,1
375,750,2,1
376,752,2,1
377,754,2,1
378,756,2,1
379,758,2,1
380,760,2,1
381,762,2,1
382,764,2,1
383,766,2,1
384,768,2,1
385,770,2,1
386,772,2,1
387,774,2,1
388,776,2,1
