,presence/absence of camera_cuts
0,0.0
1,-0.0241827269928233
2,-0.3033488050291278
3,-0.5828153668709789
4,-0.5799850675550422
5,-0.670750185265243
6,-0.745048816810826
7,-0.585676355243031
8,-0.3752234168665516
9,-0.02413194410237987
10,0.41448196123685244
11,0.5155114131463816
12,0.4794613513103534
13,0.5854157787673425
14,0.4839197720899735
15,0.15807430411812773
16,0.08228813760789452
17,0.12156127438607497
18,0.2213864089808032
19,0.6626295984926193
20,0.837507276299368
21,0.6592054831044364
22,0.3995217793377196
23,0.04542290078975021
24,-0.20533711903575613
25,-0.11768999406604433
26,0.002282161064448973
27,-0.3023319904355259
28,-0.6261629011782273
29,-0.8369292918500144
30,-1.1118848723550148
31,-1.3154683106641736
32,-1.3971119108401315
33,-1.3820576317798328
34,-1.1372775635768013
35,-0.9119285211948752
36,-0.7488599103080131
37,-0.4839110854325583
38,-0.2920801388849059
39,-0.43198055018097453
40,-0.8199186414203257
41,-1.1402710152724853
42,-1.3081266042843613
43,-1.3486717233688255
44,-1.1329539185820618
45,-0.9369370723444761
46,-0.9916949382987726
47,-0.9155419044685789
48,-0.8358997643276272
49,-0.9635312324202765
50,-0.9056708518649739
51,-0.6020824653408017
52,-0.33937766902577465
53,-0.2059225278194329
54,-0.16274406481588663
55,-0.1473690419428112
56,0.04600893502767295
57,0.19136779011571817
58,0.06789703355162822
59,-0.12806940621670698
60,-0.45906704362551554
61,-0.6866929171661134
62,-0.5848917416626308
63,-0.20443172999775863
64,0.15940055657373514
65,1.0437679248504341
66,2.2437101942651774
67,2.264850196922315
68,1.5375062784585252
69,1.6320352718201452
70,1.7004255796181185
71,1.1563084633253462
72,0.975835376171073
73,0.9804783357251866
74,0.41026202070320894
75,-0.32835477718097317
76,-0.818480941706638
77,-0.9872120686218838
78,-0.7886543900549219
79,-0.28656998320827054
80,0.514425550088794
81,1.0901177271307865
82,1.1532446005707921
83,0.7986243688873016
84,0.28064893742102553
85,0.09485654880561815
86,0.102429035173281
87,0.36903815395781403
88,0.5762012382106831
89,0.5361300217637084
90,0.6024183533780834
91,0.7040249068637413
92,0.7403840801229894
93,0.5400685917785573
94,0.4052846143582689
95,0.9333939358286664
96,1.39228898989961
97,0.8517358907670929
98,0.2657526720520367
99,0.706077201538615
100,1.2696454170429585
101,1.2120871784779688
102,0.7259946125986514
103,-0.04561319505015904
104,-0.41560363141913903
105,-0.5422420442739921
106,-0.717549310334479
107,-0.8829736515154514
108,-1.1332432098981933
109,-1.3004874777731765
110,-1.1591956880433318
111,-0.9926566738647751
112,-1.0695110986676029
113,-1.179841484553597
114,-1.039561625497995
115,-0.8796550168659135
116,-0.7708403642911857
117,-0.7358201439986702
118,-0.6968791726392369
119,-0.4551443402975923
120,0.16645437068515406
121,0.6240926728776295
122,0.6637515628444451
123,0.503026799358396
124,0.18739371017044698
125,0.11598937097617612
126,0.14727525085869586
127,0.20054069043934103
128,0.20280432449498123
129,0.011423457332085444
130,-0.18176667023079046
131,-0.28851305558286167
132,-0.2708277308161101
133,0.39605640791361946
134,1.1421299801699032
135,1.0433747447231478
136,0.6819572319844686
137,0.3991618369615352
138,0.2363532102077853
139,-0.057798071098412604
140,-0.2175523816688838
141,0.12460149808631213
142,0.7240799514084633
143,1.1057952571599343
144,0.8467619431997189
145,0.08184705184920249
146,-0.5164049094811174
147,-0.6158559801568162
148,-0.3137050122080465
149,-0.03465691049842616
150,-0.03129821860936212
151,0.09932539029701787
152,0.3921313268954973
153,0.221769112364415
154,-0.017262134252290638
155,-0.014636075860684647
156,-0.08672775431462074
157,0.049507050438664046
158,0.627772103880545
159,1.3207549274440546
160,1.7311913818963551
161,1.446004370407025
162,0.6596410833845744
163,0.005824994061575774
164,-0.3418026778627905
165,-0.4687706945759356
166,-0.4739673260068542
167,-0.42612632204475165
168,-0.387864339370352
169,-0.5777755683190009
170,-0.9179351319477949
171,-0.7542755976287606
172,-0.3086094213358911
173,-0.13746779738463893
174,-0.15974888837830223
175,-0.4121547746520571
176,-0.6377184772267581
177,-0.7994093764754837
178,-1.0427059360672666
179,-1.013444496431176
180,-0.7161969720590009
181,-0.6629029153840332
182,-0.8922670188353168
183,-0.9182292483867387
184,-0.8609723647245151
185,-0.7987517199957048
186,-0.7963780111061094
187,-0.9895862008530656
188,-1.183364181415988
189,-1.2898680831156812
190,-1.3098932367274696
191,-1.0762519115856504
192,-0.673562326379037
193,-0.5863897709711244
194,-0.8182680680363645
195,-0.8425646488598922
196,-0.6074064271417882
197,-0.6061043045260676
198,-0.888455340269337
199,-1.1483544357756887
200,-1.2880835543804052
201,-1.3414236110412898
202,-1.3280409026690703
203,-1.0945743610419856
204,-0.8813370981506232
205,-0.748255346262541
206,-0.7274398411546035
207,-0.872329815283571
208,-0.37680676549165737
209,0.703695414508489
210,1.313414327095889
211,1.1048102204389803
212,0.7052240056659049
213,0.1587905878236091
214,-0.6208515555795838
215,-1.1830203484319668
216,-1.2335246548544556
217,-1.1042157706082159
218,-0.935426760099386
219,-0.6438191385305091
220,-0.5988585370524508
221,-0.6159048461371326
222,-0.2707498861152401
223,-0.15340884960673973
224,-0.34035721721505785
225,-0.3709532791008557
226,-0.3130369615727686
227,-0.2894368760923192
228,-0.4876962480996496
229,-0.6531662635690944
230,-0.5510426506509492
231,-0.3915881880287618
232,-0.3090670754996532
233,-0.47766216037522496
234,-0.6336323037044225
235,-0.5333753335985869
236,-0.3795564703297757
237,-0.2829393409569707
238,-0.23834052680003676
239,-0.2243886690024775
240,-0.22749215648426135
241,-0.25674343333189653
242,-0.4839399556444959
243,-0.6633672502261552
244,-0.5652537858983537
245,-0.40404918061316153
246,-0.31751457227723967
247,-0.46342020916050997
248,-0.419336371869358
249,-0.3243878265604705
250,-0.0106086084181253
251,0.3496828254755231
252,0.010219281262374248
253,-0.6369837162484191
254,-0.8888877557082464
255,-0.7373642530129499
256,-0.7228839237703732
257,-0.7408884741690769
258,-0.5565028503573591
259,-0.3799585218994385
260,-0.4692459579907433
261,-0.4028302107247859
262,-0.3405159427834751
263,-0.4812236099094102
264,-0.6674778255598729
265,-0.7621071938846942
266,-0.7932774953357444
267,-0.5568126199092538
268,-0.18729632730411852
269,-0.29365655602741025
270,-0.5299415167410768
271,-0.706717587311854
272,-0.7631556786306071
273,-0.5862026451246152
274,-0.3877964809534755
275,-0.287966084805586
276,-0.47246681716832173
277,-0.8309847150334251
278,-0.6923626198984062
279,-0.2699968205671418
280,-0.1160923806440681
281,-0.13013359835727395
282,-0.17144795583007655
283,-0.20883850108213878
284,-0.23842098387556127
285,-0.23790447990860508
286,-0.010421595945697049
287,0.37626820212724366
288,0.44613584694626907
289,0.2003057742877174
290,0.16686910406320699
291,0.4160162822657649
292,0.6507446886987022
293,0.7750953195326891
294,0.8008168586419795
295,0.5665502760533276
296,0.1595619684974816
297,0.029064028202674397
298,-0.157615039695802
299,-0.2626227395416296
300,-0.16063653720069357
301,-0.3909315087835782
302,-0.6574961674414139
303,-0.8195427998112828
304,-0.8260983206278953
305,-0.401626054349179
306,0.029850886964300515
307,0.49439186516301076
308,0.7718060700225817
309,0.9276117746051511
310,1.1012478490844206
311,0.8595470016163524
312,0.7464884045827513
313,0.6950053767863003
314,0.5209245440436652
315,0.5162978296916201
316,0.37826585301578386
317,0.0815638508504968
318,0.26595593053667077
319,0.7370044654970833
320,1.1226172749579761
321,1.2847367033789814
322,1.1782674537704358
323,1.4278747855704532
324,1.850329416785836
325,1.744876502166826
326,1.2878096270473645
327,0.9095657436635065
328,0.7078220259826318
329,0.6106566778084823
330,0.3660980722936749
331,-0.037030353989598294
332,-0.5085583443547768
333,-0.5791729992050143
334,-0.32307347732569214
335,-0.2355687150370545
336,-0.23314992026974318
337,-0.0531067748342726
338,-0.08614792857788642
339,-0.12758441170229978
340,0.23858719727938316
341,0.8014726756634347
342,0.9376940984597302
343,0.5381014936328643
344,0.5074406460565503
345,0.5955521393933907
346,0.5057677296196812
347,0.538136671706556
348,0.41182354546860456
349,0.11282053703269555
350,0.28904779553096505
351,0.7512859503957644
352,1.1303072501419025
353,1.2692061161988337
354,0.8672619653472939
355,0.01952401654058111
356,-0.8318048742216033
357,-1.3127845121326507
358,-1.0641340076086432
359,-0.5036149470838529
360,-0.23856955680600928
361,-0.19795409679474302
362,-0.41767587131654865
363,-0.6124870890608689
364,-0.47975412806958206
365,0.3331829294749129
366,1.2189641948930088
367,1.820815041313223
368,2.271550993045488
369,2.7483951756908747
370,3.1758281742181005
371,3.2055545687523814
372,2.8186570316668744
373,2.037259008001604
374,1.222379615791364
375,0.7099495662325391
376,0.5359334806050908
377,0.9558278717021436
378,1.565023917194885
379,1.6023046876295137
380,1.2346795820857104
381,0.8810365267350406
382,0.4779638587052234
383,0.22985056005036286
384,0.3790551627432697
385,1.2718636958825609
386,2.593417845330914
387,3.11424602329787
388,2.7202453767790864
