,onset,duration,amplitude
0,0,2,0
1,2,2,0
2,4,2,0
3,6,2,0
4,8,2,0
5,10,2,0
6,12,2,0
7,14,2,0
8,16,2,0
9,18,2,0
10,20,2,0
11,22,2,0
12,24,2,0
13,26,2,0
14,28,2,0
15,30,2,0
16,32,2,0
17,34,2,0
18,36,2,0
19,38,2,0
20,40,2,0
21,42,2,0
22,44,2,0
23,46,2,0
24,48,2,0
25,50,2,0
26,52,2,1
27,54,2,0
28,56,2,0
29,58,2,0
30,60,2,0
31,62,2,0
32,64,2,0
33,66,2,0
34,68,2,0
35,70,2,0
36,72,2,0
37,74,2,0
38,76,2,0
39,78,2,0
40,80,2,0
41,82,2,0
42,84,2,0
43,86,2,0
44,88,2,0
45,90,2,0
46,92,2,0
47,94,2,0
48,96,2,0
49,98,2,0
50,100,2,0
51,102,2,0
52,104,2,0
53,106,2,0
54,108,2,0
55,110,2,0
56,112,2,0
57,114,2,0
58,116,2,0
59,118,2,0
60,120,2,0
61,122,2,0
62,124,2,0
63,126,2,0
64,128,2,0
65,130,2,0
66,132,2,0
67,134,2,0
68,136,2,0
69,138,2,0
70,140,2,0
71,142,2,1
72,144,2,0
73,146,2,0
74,148,2,0
75,150,2,0
76,152,2,0
77,154,2,0
78,156,2,0
79,158,2,0
80,160,2,0
81,162,2,0
82,164,2,0
83,166,2,0
84,168,2,0
85,170,2,0
86,172,2,0
87,174,2,0
88,176,2,0
89,178,2,0
90,180,2,0
91,182,2,0
92,184,2,0
93,186,2,0
94,188,2,0
95,190,2,0
96,192,2,0
97,194,2,0
98,196,2,0
99,198,2,1
100,200,2,0
101,202,2,0
102,204,2,0
103,206,2,0
104,208,2,0
105,210,2,0
106,212,2,0
107,214,2,0
108,216,2,0
109,218,2,0
110,220,2,0
111,222,2,0
112,224,2,0
113,226,2,0
114,228,2,0
115,230,2,0
116,232,2,0
117,234,2,0
118,236,2,0
119,238,2,0
120,240,2,0
121,242,2,0
122,244,2,0
123,246,2,0
124,248,2,0
125,250,2,0
126,252,2,0
127,254,2,0
128,256,2,0
129,258,2,0
130,260,2,0
131,262,2,0
132,264,2,0
133,266,2,0
134,268,2,0
135,270,2,0
136,272,2,0
137,274,2,0
138,276,2,0
139,278,2,0
140,280,2,0
141,282,2,0
142,284,2,0
143,286,2,0
144,288,2,0
145,290,2,0
146,292,2,0
147,294,2,0
148,296,2,0
149,298,2,0
150,300,2,0
151,302,2,0
152,304,2,0
153,306,2,0
154,308,2,0
155,310,2,0
156,312,2,0
157,314,2,0
158,316,2,0
159,318,2,0
160,320,2,0
161,322,2,0
162,324,2,0
163,326,2,0
164,328,2,0
165,330,2,0
166,332,2,0
167,334,2,0
168,336,2,0
169,338,2,0
170,340,2,0
171,342,2,0
172,344,2,0
173,346,2,0
174,348,2,0
175,350,2,0
176,352,2,0
177,354,2,0
178,356,2,0
179,358,2,0
180,360,2,0
181,362,2,0
182,364,2,0
183,366,2,0
184,368,2,0
185,370,2,0
186,372,2,0
187,374,2,0
188,376,2,0
189,378,2,0
190,380,2,0
191,382,2,0
192,384,2,0
193,386,2,0
194,388,2,0
195,390,2,0
196,392,2,0
197,394,2,0
198,396,2,0
199,398,2,0
200,400,2,1
201,402,2,0
202,404,2,0
203,406,2,0
204,408,2,0
205,410,2,0
206,412,2,0
207,414,2,0
208,416,2,0
209,418,2,0
210,420,2,0
211,422,2,0
212,424,2,0
213,426,2,0
214,428,2,0
215,430,2,0
216,432,2,0
