,presence/absence of delayed_camera_cuts
0,0.0
1,-0.022416848348316937
2,-0.2989309832741482
3,-0.7767336838477794
4,-1.1152240936921776
5,-1.0452813075532077
6,-0.6976414532496991
7,-0.5890539459671902
8,-0.5773383057812116
9,-0.39894525167405437
10,-0.20335991762191394
11,0.12226990787115799
12,0.5382202871371318
13,0.6239034351406909
14,0.5600364592739646
15,0.44485178295373357
16,0.16966993210297363
17,-0.05448877677788206
18,0.03290543566581636
19,0.17889471787784772
20,0.3309679730215807
21,0.7906118232052584
22,0.9646815984861901
23,0.7773100655415524
24,0.5077139488766635
25,0.1462187586668844
26,-0.10899006403292417
27,-0.023638524019179215
28,0.09528244599553737
29,-0.20977130339757266
30,-0.5338552088705351
31,-0.7446215995423223
32,-1.0195771800473228
33,-1.2231606183564816
34,-1.3048042185324393
35,-1.2897499394721406
36,-1.0449698712691093
37,-0.8196208288871829
38,-0.6565522180003208
39,-0.39160339312486603
40,-0.19977244657721366
41,-0.3396728578732823
42,-0.7276109491126335
43,-1.0479633229647933
44,-1.2158189119766694
45,-1.2563640310611333
46,-1.0406462262743696
47,-0.8446293800367837
48,-0.8993872459910804
49,-0.8232342121608865
50,-0.7435920720199349
51,-0.8712235401125843
52,-0.8324935115394339
53,-0.745749636536554
54,-0.6548228284111155
55,-0.4188054200026701
56,-0.21212676675796482
57,-0.09003559845103848
58,0.15559049906845046
59,0.3193500148283571
60,0.19507135573845022
61,-0.009964823779591153
62,-0.35087487408657153
63,-0.5858970592889792
64,-0.48854468665979883
65,-0.12951061193304578
66,0.016425978001378932
67,0.7285757601953542
68,2.03082730208194
69,2.2154674949802367
70,1.5948397219502974
71,1.7416168358609223
72,1.828407804330757
73,1.2834827855121678
74,1.0939399586081886
75,1.0886705052641303
76,0.511057878580343
77,-0.23200772217814145
78,-0.7244294716597732
79,-0.8942117836907957
80,-0.6960937030169688
81,-0.1942622909005785
82,0.606733242396486
83,1.1824254194384785
84,1.2455522928784841
85,0.8909320611949937
86,0.37295662972871757
87,0.18716424111331015
88,0.19473672748097298
89,0.46134584626550607
90,0.6685089305183751
91,0.6284377140714004
92,0.6947260456857753
93,0.7963325991714333
94,0.8326917724306813
95,0.6132459321040968
96,0.20422638721605937
97,-0.1091061660491609
98,-0.2798273208661712
99,-0.5209714163408069
100,-0.4645667076428883
101,-0.13887896562847016
102,0.19121645305983434
103,0.5479872161399281
104,0.559302434328792
105,0.0699135283084271
106,-0.18953583651957023
107,-0.2975224181167422
108,-0.4982916969953635
109,-0.7033120002834339
110,-0.9892075355571235
111,-1.1812637119429794
112,-1.0545169129199594
113,-0.8951176483395644
114,-0.9751256284897225
115,-1.0867748080551218
116,-0.9472539331903032
117,-0.7873473245582214
118,-0.6785326719834939
119,-0.6435124516909783
120,-0.604571480331545
121,-0.36283664798990034
122,0.2587620629928461
123,0.7164003651853214
124,0.7560592551521371
125,0.595334491666088
126,0.27970140247813896
127,0.2082970632838681
128,0.23958294316638784
129,0.29284838274703295
130,0.2951120168026732
131,0.10373114963977743
132,-0.08945897792309847
133,-0.19620536327516966
134,-0.21678074247272267
135,0.016414373214422236
136,0.4189319690915291
137,0.4870405640846763
138,-0.00019594319642172488
139,-0.6682202392164271
140,-1.1268751017001333
141,-1.2982183903573632
142,-0.8775314904664004
143,-0.015304323196438232
144,0.8668310370897989
145,1.3550348162358872
146,1.1049578358455612
147,0.3049414039854271
148,-0.3382574432976499
149,-0.47470645296637703
150,-0.19689407058798492
151,0.06885847018551056
152,0.06569561126059395
153,0.19327126258176325
154,0.4849450086637114
155,0.31407680467210697
156,0.07504555805540136
157,0.07767161644700735
158,0.005579937993071253
159,0.14181474274635603
160,0.7200797961882371
161,1.4130626197517466
162,1.8234990742040473
163,1.5383120627147169
164,0.7519487756922664
165,0.09813268636926777
166,-0.24949498555509855
167,-0.3764630022682436
168,-0.3816596336991621
169,-0.3338186297370596
170,-0.29555664706265994
171,-0.4854678760113089
172,-0.8256274396401029
173,-0.6619679053210688
174,-0.21630172902819905
175,-0.04516010507694694
176,-0.06744119607061025
177,-0.3198470823443651
178,-0.5454107849190661
179,-0.7071016841677917
180,-0.9503982437595745
181,-0.921136804123484
182,-0.6238892797513089
183,-0.5705952230763414
184,-0.7999593265276248
185,-0.8259215560790468
186,-0.7686646724168231
187,-0.7064440276880128
188,-0.7040703187984174
189,-0.8972785085453736
190,-1.0910564891082961
191,-1.1975603908079895
192,-1.2175855444197776
193,-0.9839442192779584
194,-0.581254634071345
195,-0.49408207866343246
196,-0.7259603757286726
197,-0.7502569565522004
198,-0.5150987348340962
199,-0.5137966122183757
200,-0.796147647961645
201,-1.0560467434679968
202,-1.1957758620727135
203,-1.249115918733598
204,-1.2357332103613783
205,-1.0022666687342936
206,-0.7890294058429312
207,-0.655947653954849
208,-0.6351321488469114
209,-0.8182828269401836
210,-0.7755791521730069
211,-0.2746078120554821
212,0.13248278324309198
213,-0.054311527422427966
214,-0.36302549359541947
215,-0.6039620556521806
216,-0.9217761542855321
217,-1.144695635293673
218,-1.036782397086674
219,-0.8665271996914348
220,-0.713920207008058
221,-0.4583965580232904
222,-0.44885439364115587
223,-0.49205618534764195
224,-0.16297230571987514
225,-0.05437242951107784
226,-0.24536015981453574
227,-0.2776999994395064
228,-0.22047627453481558
229,-0.19712918378462718
230,-0.39538855579195753
231,-0.5608585712614025
232,-0.45873495834325717
233,-0.2992804957210698
234,-0.21675938319196114
235,-0.38535446806753293
236,-0.5413246113967305
237,-0.44106764129089493
238,-0.2872487780220837
239,-0.19063164864927873
240,-0.14603283449234478
241,-0.13208097669478552
242,-0.13518446417656937
243,-0.16443574102420455
244,-0.3916322633368039
245,-0.5710595579184632
246,-0.47294609359066175
247,-0.31174148830546955
248,-0.22520687996954764
249,-0.371112516852818
250,-0.32702867956166604
251,-0.23208013425277857
252,0.08169908388956668
253,0.4419905177832151
254,0.10252697357006625
255,-0.5446760239407271
256,-0.7965800634005544
257,-0.6450565607052579
258,-0.6305762314626812
259,-0.648580781861385
260,-0.46419515804966716
261,-0.2876508295917465
262,-0.3769382656830514
263,-0.3105225184170939
264,-0.2482082504757831
265,-0.3889159176017182
266,-0.5751701332521809
267,-0.6697995015770022
268,-0.7009698030280525
269,-0.464504927601562
270,-0.09498863499642654
271,-0.20134886371971827
272,-0.4376338244333848
273,-0.6144098950041621
274,-0.6708479863229152
275,-0.4938949528169232
276,-0.29548878864578354
277,-0.19565839249789402
278,-0.3801591248606297
279,-0.7386770227257331
280,-0.6000549275907142
281,-0.17768912825944988
282,-0.02378468833637612
283,-0.037825906049581984
284,-0.0791402635223846
285,-0.11653080877444677
286,-0.1461132915678693
287,-0.1455967876009131
288,0.08188609636199493
289,0.4685758944349356
290,0.538443539253961
291,0.29261346659540943
292,0.25917679637089897
293,0.5083239745734569
294,0.7430523810063943
295,0.867403011840381
296,0.8931245509496715
297,0.6588579683610196
298,0.2518696608051736
299,0.12137172051036638
300,-0.06530734738811003
301,-0.1703150472339376
302,-0.06832884489300159
303,-0.2986238164758862
304,-0.565188475133722
305,-0.7272351075035908
306,-0.7337906283202034
307,-0.30931836204148694
308,0.12215857927199249
309,0.5866995574707028
310,0.8641137623302736
311,1.0199194669128429
312,1.1935555413921128
313,0.9518546939240444
314,0.8387960968904433
315,0.7873130690939922
316,0.6132322363513572
317,0.6086055219993121
318,0.47057354532347584
319,0.17387154315818878
320,0.3582636228443627
321,0.8293121578047753
322,1.2149249672656681
323,1.357914043704521
324,1.015469930592531
325,0.8764547626816676
326,1.2105633209274131
327,1.1543283522303736
328,0.7956998245963336
329,0.6598521224152827
330,0.475412864675141
331,0.33077843189129835
332,0.23115257185207627
333,-0.00905715616605446
334,-0.3919856281831808
335,-0.4312670167702316
336,-0.1734236349474889
337,-0.09746985691822166
338,-0.11006038778383057
339,0.05708216717410511
340,0.015340521922643761
341,-0.030984361969206994
342,0.332638667326248
343,0.894472960594523
344,1.0302547854976833
345,0.6304091859405563
346,0.5997483383642422
347,0.6878598317010827
348,0.5980754219273732
349,0.630444364014248
350,0.5041312377762965
351,0.20512822934038752
352,0.381355487838657
353,0.8435936427034563
354,1.2226149424495945
355,1.3615138085065257
356,0.9595696576549861
357,0.11183170884827309
358,-0.7394971819139113
359,-1.2204768198249587
360,-0.9718263153009512
361,-0.4113072547761609
362,-0.1462618644983173
363,-0.10564640448705104
364,-0.3253681790088566
365,-0.5201793967531769
366,-0.38744643576189003
367,0.42549062178260494
368,1.2730111832363964
369,1.4411730066140258
370,1.4718315740385046
371,1.2864222450029295
372,1.3537436712541195
373,2.0071514254645164
374,2.3787508904416557
375,2.0610187698555125
376,1.4535160547896568
377,0.9965491684188659
