,presence/absence of delayed_camera_cuts
0,0.0
1,0.0
2,0.0
3,0.0
4,0.019130351982152304
5,0.25510521548559684
6,0.6437277151964778
7,0.7320737881661148
8,0.7019861942262967
9,0.8395227102443199
10,0.9857490287523936
11,1.0567906417812978
12,1.0741721324511726
13,1.0667759029936104
14,1.0500835232365417
15,1.0325256179173936
16,1.018573842324082
17,1.0094337529230992
18,1.0042923574254008
19,1.001743777739173
20,1.000692592623396
21,1.000252994730261
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,0.9808696480178477
29,0.7640251364965555
30,0.5731167963248146
31,0.43970420002347377
32,0.19545153857159966
33,-0.0030229004854788366
34,-0.09246517418624448
35,-0.08990841034815009
36,0.14340207038041047
37,0.36091520320739195
38,0.5192820164896907
39,0.7819352564091788
40,0.9727150178410544
41,0.8323750086518507
42,0.44418392268223844
43,0.12383154883007856
44,-0.04402404018179737
45,-0.08456915926626138
46,0.13114864552050232
47,0.3271654917580881
48,0.2724076258037914
49,0.3485606596339853
50,0.4282027997749368
51,0.3005713316822876
52,0.339301360255438
53,0.42604523525831783
54,0.5169720433837564
55,0.7529894517922018
56,0.9596681050369071
57,1.062628921361681
58,1.0914105073598779
59,1.083392034930196
60,1.0616756430423928
61,1.0201396537655103
62,0.7859457488923809
63,0.603171684238978
64,0.6997943655578676
65,0.8411760262375113
66,0.7297434803040321
67,0.6097740147703132
68,0.7304839479140175
69,0.8931762356293593
70,0.9908226413135042
71,1.033158348964337
72,1.0441626979743888
73,1.0389059925742696
74,1.0275406678685965
75,0.9974467178724957
76,0.7727662967962585
77,0.5771561590199543
78,0.46057832974479895
79,0.4512493466805927
80,0.6600881614234122
81,0.8755834774833149
82,1.0007002835890275
83,1.0521405016122152
84,1.0614714225343707
85,1.0507511071103814
86,1.0342850556988656
87,1.0199238399263915
88,1.0102319433086149
89,1.0047319553185359
90,1.0019967724694339
91,1.000692592623396
92,1.000252994730261
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,0.9808696480178477
99,0.7640251364965555
100,0.5922471483069669
101,0.6948094155090705
102,0.8583096057502296
103,0.9650257511840806
104,0.998143519750933
105,0.7996996689015023
106,0.6079834262039444
107,0.48463144213504966
108,0.447310879306296
109,0.41321811677699627
110,0.21676477299982472
111,0.053525761640793215
112,0.1790689118197261
113,0.32476397422241543
114,0.22850226859914705
115,0.10334091133357125
116,0.23397469152766825
117,0.3887399046620513
118,0.4950059775505512
119,0.5289750127272901
120,0.5674763861935882
121,0.7706975198406671
122,0.958607207780829
123,1.053559181611975
124,1.0814980944617059
125,1.075995723268386
126,1.0572268401680902
127,1.0369744207916958
128,1.0208694272800487
129,1.0104849380388758
130,1.0047319553185359
131,1.0019967724694339
132,1.000692592623396
133,1.000252994730261
134,1.0
135,1.0
136,1.0
137,0.9808696480178477
138,0.7448947845144032
139,0.33714193282137006
140,0.03195134833044062
141,-0.09060869393717746
142,0.11039192075034768
143,0.5354186441764661
144,0.8762837610723424
145,1.0528407852012425
146,1.0944815721644332
147,0.8762476661413074
148,0.6772833111162142
149,0.7490183111343278
150,0.8884653889852361
151,0.9799896498112314
152,1.0240025995210553
153,1.0383638974977771
154,1.0166818652506349
155,0.7900750213562402
156,0.6081316255382186
157,0.7032975810785126
158,0.8623489684453695
159,0.9667695289232534
160,1.0179664643564814
161,1.035927527135208
162,1.0348666298791298
163,1.0257968901294237
164,1.0158844772312516
165,1.008488165569442
166,1.0040393626951398
167,1.001743777739173
168,1.000692592623396
169,1.000252994730261
170,0.9808696480178477
171,0.7448947845144032
172,0.35627228480352235
173,0.2870565638160375
174,0.5531190212593002
175,0.8233353569343103
176,0.9631692709350136
177,0.8169735406345875
178,0.6436579586088913
179,0.5003677200320271
180,0.2562632579144274
181,0.27645495780081186
182,0.563790069274815
183,0.6096878142879728
184,0.3758749079623871
185,0.34761709345499825
186,0.40382279200144505
187,0.46560383883712025
188,0.46772455299645477
189,0.27451636324949846
190,0.08073838268657572
191,-0.02576551901311732
192,-0.045790672624905576
193,0.18785065251691374
194,0.590540237723527
195,0.6777127931314396
196,0.44583449606619957
197,0.4215379152426718
198,0.6566961369607759
199,0.6579982595764964
200,0.375647223833227
201,0.11574812832687534
202,-0.023980990277841258
203,-0.07732104693872588
204,-0.06393833856650608
205,0.1695282030605785
206,0.38276546595194094
207,0.5158472178400231
208,0.5366627229479607
209,0.35351204485468857
210,0.3770853676397129
211,0.6612121962359454
212,0.8965248033449309
213,0.8122927598815147
214,0.6670789839496822
215,0.532858567326772
216,0.2672925892424252
217,0.06277376890614585
218,0.16987910458732786
219,0.3310645622328609
220,0.4737591420180659
221,0.7218864793410238
222,0.726979840848856
223,0.6623521122042508
224,0.7735402951949486
225,0.7099225853210223
226,0.6212441274894069
227,0.7524044781055953
228,0.916344348444137
229,0.9919395597433303
230,0.8120808484078613
231,0.6458029304125995
232,0.7388568035810386
233,0.8883988533050541
234,0.963523654172353
235,0.790479766422479
236,0.6322140381373146
237,0.7314198231273734
238,0.8847990885030494
239,0.9811632231455933
240,1.0257620373025274
241,1.0397138951000864
242,1.0366104076183027
243,1.0073591307706673
244,0.7801626084580683
245,0.600735313876409
246,0.6988487782042103
247,0.8600533834894025
248,0.9465879918253245
249,0.7815520029599018
250,0.6087913287297614
251,0.49370118188475576
252,0.47635364418662024
253,0.6565892919422507
254,0.62896642756716
255,0.3610119310876895
256,0.34094084316742546
257,0.5961526844349145
258,0.6383645952715082
259,0.6088318269229984
260,0.7676816595734943
261,0.9199523593607688
262,0.7944463630077254
263,0.6340688078880092
264,0.5195743198346627
265,0.4790735549490168
266,0.45544033375344284
267,0.4670211214019504
268,0.4689685885177526
269,0.5069896130948124
270,0.7039200149845423
271,0.6910523137136482
272,0.6083551303429686
273,0.5308988935442327
274,0.522260119900182
275,0.7153182291220687
276,0.9118653056516146
277,1.0021863641566628
278,0.8075202241654942
279,0.4224756626564288
280,0.33980444339585303
281,0.5880966695815621
282,0.8435121915909627
283,0.9925315662257808
284,1.057680359456568
285,1.0725379347535107
286,1.0613561126319497
287,1.0419343620909363
288,1.0243726428006936
289,1.0125275282645818
290,1.0057831404343127
291,1.0024363703625692
292,1.0009455873536572
293,1.000252994730261
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,0.9808696480178477
300,0.7640251364965555
301,0.5922471483069669
302,0.6756790635269183
303,0.6223347422467851
304,0.5381425475088952
305,0.4761084237387113
306,0.4862312864621434
307,0.6947017965722809
308,0.9013803676127385
309,1.0165847608202792
310,1.060628667181657
311,1.0655107852295105
312,1.0524948848495543
313,1.034977648322262
314,1.0201768346566527
315,1.0102319433086149
316,1.0047319553185359
317,1.0019967724694339
318,1.000692592623396
319,1.000252994730261
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
