,presence/absence of delayed_medium_length
0,0.0
1,-0.0009319915068228044
2,-0.012428202805708567
3,-0.03229308532408711
4,-0.047161344568517
5,-0.05406420992940325
6,-0.05576808358966599
7,-0.054926535992413116
8,-0.05318854595217212
9,-0.05148991526575297
10,-0.05023314369534516
11,-0.04945928454818161
12,-0.04904575853326007
13,-0.048848969068625056
14,-0.04876401579415253
15,-0.04873027410224349
16,-0.04871794871794872
17,-0.04871794871794872
18,-0.04871794871794872
19,-0.04871794871794872
20,-0.04871794871794872
21,-0.04871794871794872
22,-0.04871794871794872
23,-0.04871794871794872
24,-0.04871794871794872
25,-0.04871794871794872
26,-0.04871794871794872
27,-0.04871794871794872
28,-0.04871794871794872
29,-0.029587596735796418
30,0.18725691478549586
31,0.35903490297508434
32,0.25647263577298063
33,0.0929724455318216
34,-0.013743699902029321
35,-0.046861468468881756
36,0.151582382380549
37,0.32416827309595453
38,0.230675745643557
39,0.07708796830056985
40,-0.02223186547147132
41,-0.07003118314617382
42,-0.08613625886206851
43,-0.08427717122047473
44,-0.07476783357763347
45,-0.06460242594920054
46,-0.05720611428739077
47,-0.05275731141308852
48,-0.05046172645712168
49,-0.04941054134134495
50,-0.04897094344820981
51,-0.029587596735796466
52,0.18725691478549583
53,0.35903490297508434
54,0.25647263577298063
55,0.09297244553182163
56,-0.013743699902029316
57,-0.06599182045103405
58,-0.0843924811228956
59,-0.08358457859707856
60,-0.07451483884737242
61,-0.06460242594920054
62,-0.05720611428739077
63,-0.05275731141308852
64,-0.05046172645712168
65,-0.030280189359192643
66,0.18700392005523475
67,0.35903490297508434
68,0.25647263577298063
69,0.09297244553182163
70,-0.013743699902029316
71,-0.06599182045103405
72,-0.0843924811228956
73,-0.08358457859707856
74,-0.055384486865220114
75,0.17137243755424406
76,0.35054673740564235
77,0.2524332730778409
78,0.09122866779264871
79,-0.014436292525425491
80,-0.0662448151812951
81,-0.0843924811228956
82,-0.08358457859707856
83,-0.07451483884737242
84,-0.06460242594920054
85,-0.03807576230523847
86,0.18321755209035606
87,0.35729112523591144
88,0.25578004314958447
89,0.09271945080156058
90,-0.013743699902029316
91,-0.06599182045103405
92,-0.0843924811228956
93,-0.08358457859707856
94,-0.07451483884737242
95,-0.06460242594920054
96,-0.05720611428739077
97,-0.05275731141308852
98,-0.05046172645712168
99,-0.04941054134134495
100,-0.04897094344820981
101,-0.048717948717948774
102,-0.029587596735796466
103,0.18725691478549583
104,0.35903490297508434
105,0.25647263577298063
106,0.09297244553182163
107,0.0053866520801229886
108,0.16998304305241052
109,0.32336037057013756
110,0.22160600589385085
111,0.06717555540239796
112,-0.02962817713328108
113,-0.07447998602047606
114,-0.08843184381803534
115,-0.08532835633625148
116,-0.0752074314707686
117,-0.06485542067946158
118,-0.05720611428739077
119,-0.033626959430936215
120,0.1855131370463229
121,0.3583423103516882
122,0.2562196410427196
123,0.09297244553182163
124,-0.013743699902029316
125,-0.06599182045103405
126,-0.0843924811228956
127,-0.08358457859707856
128,-0.07451483884737242
129,-0.06460242594920054
130,-0.05720611428739077
131,-0.05275731141308852
132,-0.03133137447496938
133,0.18656432216209964
134,0.35878190824482326
135,0.25647263577298063
136,0.09297244553182163
137,-0.013743699902029316
138,-0.06599182045103405
139,-0.0843924811228956
140,-0.08358457859707856
141,-0.07451483884737242
142,-0.06460242594920054
143,-0.05720611428739077
144,-0.05275731141308852
145,-0.03133137447496938
146,0.18656432216209964
147,0.35878190824482326
148,0.25647263577298063
149,0.09297244553182163
150,-0.013743699902029316
151,-0.06599182045103405
152,-0.0843924811228956
153,-0.08358457859707856
154,-0.07451483884737242
155,-0.06460242594920054
156,-0.05720611428739077
157,-0.05275731141308852
158,-0.05046172645712168
159,-0.04941054134134495
160,-0.04897094344820981
161,-0.048717948717948774
162,-0.029587596735796466
163,0.18725691478549583
164,0.35903490297508434
165,0.25647263577298063
166,0.09297244553182163
167,-0.013743699902029316
168,-0.06599182045103405
169,-0.0843924811228956
170,-0.08358457859707856
171,-0.07451483884737242
172,-0.06460242594920054
173,-0.05720611428739077
174,-0.05275731141308852
175,-0.05046172645712168
176,-0.04941054134134495
177,-0.04897094344820981
178,-0.048717948717948774
179,-0.048717948717948774
180,-0.048717948717948774
181,-0.048717948717948774
182,-0.048717948717948774
183,-0.048717948717948774
184,-0.048717948717948774
185,-0.048717948717948774
186,-0.048717948717948774
187,-0.048717948717948774
188,-0.048717948717948774
189,-0.048717948717948774
190,-0.048717948717948774
191,-0.048717948717948774
192,-0.048717948717948774
193,-0.048717948717948774
194,-0.048717948717948774
195,-0.048717948717948774
196,-0.048717948717948774
197,-0.048717948717948774
198,-0.048717948717948774
199,-0.048717948717948774
200,-0.048717948717948774
201,-0.048717948717948774
202,-0.048717948717948774
203,-0.029587596735796466
204,0.18725691478549583
205,0.35903490297508434
206,0.25647263577298063
207,0.09297244553182163
208,-0.013743699902029316
209,-0.06599182045103405
210,-0.0843924811228956
211,-0.08358457859707856
212,-0.07451483884737242
213,-0.06460242594920054
214,-0.05720611428739077
215,-0.05275731141308852
216,-0.05046172645712168
217,-0.04941054134134495
218,-0.02984059146605751
219,0.18725691478549583
220,0.35903490297508434
221,0.25647263577298063
222,0.09297244553182163
223,-0.013743699902029316
224,-0.06599182045103405
225,-0.0843924811228956
226,-0.08358457859707856
227,-0.07451483884737242
228,-0.06460242594920054
229,-0.05720611428739077
230,-0.05275731141308852
231,-0.05046172645712168
232,-0.04941054134134495
233,-0.04897094344820981
234,-0.048717948717948774
235,-0.048717948717948774
236,-0.048717948717948774
237,-0.048717948717948774
238,-0.048717948717948774
239,-0.048717948717948774
240,-0.048717948717948774
241,-0.048717948717948774
242,-0.048717948717948774
243,-0.048717948717948774
244,-0.048717948717948774
245,-0.048717948717948774
246,-0.048717948717948774
247,-0.048717948717948774
248,-0.029587596735796466
249,0.18725691478549583
250,0.35903490297508434
251,0.25647263577298063
252,0.09297244553182163
253,-0.013743699902029316
254,-0.06599182045103405
255,-0.0843924811228956
256,-0.08358457859707856
257,-0.07451483884737242
258,-0.06460242594920054
259,-0.05720611428739077
260,-0.05275731141308852
261,-0.05046172645712168
262,-0.04941054134134495
263,-0.04897094344820981
264,-0.048717948717948774
265,-0.048717948717948774
266,-0.048717948717948774
267,-0.048717948717948774
268,-0.048717948717948774
269,-0.048717948717948774
270,-0.048717948717948774
271,-0.048717948717948774
272,-0.048717948717948774
273,-0.048717948717948774
274,-0.048717948717948774
275,-0.048717948717948774
276,-0.048717948717948774
277,-0.048717948717948774
278,-0.048717948717948774
279,-0.048717948717948774
280,-0.048717948717948774
281,-0.048717948717948774
282,-0.048717948717948774
283,-0.048717948717948774
284,-0.048717948717948774
285,-0.048717948717948774
286,-0.029587596735796466
287,0.18725691478549583
288,0.35903490297508434
289,0.25647263577298063
290,0.09297244553182163
291,-0.013743699902029316
292,-0.06599182045103405
293,-0.0843924811228956
294,-0.08358457859707856
295,-0.07451483884737242
296,-0.06460242594920054
297,-0.05720611428739077
298,-0.05275731141308852
299,-0.05046172645712168
300,-0.04941054134134495
301,-0.04897094344820981
302,-0.048717948717948774
303,-0.048717948717948774
304,-0.048717948717948774
305,-0.048717948717948774
306,-0.048717948717948774
307,-0.048717948717948774
308,-0.048717948717948774
309,-0.048717948717948774
310,-0.048717948717948774
311,-0.048717948717948774
312,-0.048717948717948774
313,-0.048717948717948774
314,-0.048717948717948774
315,-0.048717948717948774
316,-0.048717948717948774
317,-0.048717948717948774
318,-0.029587596735796466
319,0.18725691478549583
320,0.35903490297508434
321,0.25647263577298063
322,0.09297244553182163
323,-0.013743699902029316
324,-0.06599182045103405
325,-0.0843924811228956
326,-0.08358457859707856
327,-0.07451483884737242
328,-0.06460242594920054
329,-0.05720611428739077
330,-0.05275731141308852
331,-0.03133137447496938
332,0.18656432216209964
333,0.35878190824482326
334,0.25647263577298063
335,0.09297244553182163
336,-0.013743699902029316
337,-0.06599182045103405
338,-0.0843924811228956
339,-0.08358457859707856
340,-0.07451483884737242
341,-0.06460242594920054
342,-0.05720611428739077
343,-0.05275731141308852
344,-0.05046172645712168
345,-0.04941054134134495
346,-0.04897094344820981
347,-0.048717948717948774
348,-0.048717948717948774
349,-0.048717948717948774
350,-0.048717948717948774
351,-0.048717948717948774
352,-0.048717948717948774
353,-0.048717948717948774
354,-0.048717948717948774
355,-0.048717948717948774
356,-0.048717948717948774
357,-0.048717948717948774
358,-0.048717948717948774
359,-0.029587596735796466
360,0.18725691478549583
361,0.35903490297508434
362,0.25647263577298063
363,0.09297244553182163
364,-0.013743699902029316
365,-0.06599182045103405
366,-0.0843924811228956
367,-0.08358457859707856
368,-0.07451483884737242
369,-0.06460242594920054
370,-0.05720611428739077
371,-0.05275731141308852
372,-0.05046172645712168
373,-0.04941054134134495
374,-0.04897094344820981
375,-0.048717948717948774
376,-0.048717948717948774
377,-0.048717948717948774
378,-0.048717948717948774
379,-0.048717948717948774
380,-0.048717948717948774
381,-0.048717948717948774
382,-0.048717948717948774
383,-0.048717948717948774
384,-0.048717948717948774
385,-0.048717948717948774
386,-0.048717948717948774
387,-0.048717948717948774
388,-0.048717948717948774
