,presence/absence of delayed_medium_length
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.019130351982152304
30,0.23597486350344457
31,0.4077528516930331
32,0.3051905844909294
33,0.1416903942497704
34,0.034974248815919456
35,0.0018564802490670129
36,0.20030033109849776
37,0.3728862218139033
38,0.27939369436150574
39,0.12580591701851862
40,0.02648608324647745
41,-0.02131323442822504
42,-0.03741831014411974
43,-0.03555922250252597
44,-0.026049884859684694
45,-0.015884477231251762
46,-0.008488165569442003
47,-0.004039362695139747
48,-0.0017437777391729119
49,-0.0006925926233961772
50,-0.00025299473026104525
51,0.019130351982152304
52,0.23597486350344457
53,0.4077528516930331
54,0.3051905844909294
55,0.1416903942497704
56,0.034974248815919456
57,-0.01727387173308529
58,-0.035674532404946835
59,-0.03486662987912979
60,-0.02579689012942365
61,-0.015884477231251762
62,-0.008488165569442003
63,-0.004039362695139747
64,-0.0017437777391729119
65,0.018437759358756127
66,0.23572186877318355
67,0.4077528516930331
68,0.3051905844909294
69,0.1416903942497704
70,0.034974248815919456
71,-0.01727387173308529
72,-0.035674532404946835
73,-0.03486662987912979
74,-0.0066665381472713475
75,0.22009038627219285
76,0.3992646861235911
77,0.3011512217957897
78,0.13994661651059748
79,0.03428165619252328
80,-0.017526866463346336
81,-0.035674532404946835
82,-0.03486662987912979
83,-0.02579689012942365
84,-0.015884477231251762
85,0.010642186412710301
86,0.23193550080830483
87,0.4060090739538602
88,0.30449799186753324
89,0.14143739951950934
90,0.034974248815919456
91,-0.01727387173308529
92,-0.035674532404946835
93,-0.03486662987912979
94,-0.02579689012942365
95,-0.015884477231251762
96,-0.008488165569442003
97,-0.004039362695139747
98,-0.0017437777391729119
99,-0.0006925926233961772
100,-0.00025299473026104525
101,0.0
102,0.019130351982152304
103,0.23597486350344457
104,0.4077528516930331
105,0.3051905844909294
106,0.1416903942497704
107,0.05410460079807176
108,0.2187009917703593
109,0.37207831928808627
110,0.2703239546117996
111,0.11589350412034673
112,0.019089771584667688
113,-0.025762037302527296
114,-0.03971389510008658
115,-0.036610407618302705
116,-0.02648948275281983
117,-0.016137471961512807
118,-0.008488165569442003
119,0.015090989287012557
120,0.23423108576427168
121,0.40706025906963694
122,0.30493758976066837
123,0.1416903942497704
124,0.034974248815919456
125,-0.01727387173308529
126,-0.035674532404946835
127,-0.03486662987912979
128,-0.02579689012942365
129,-0.015884477231251762
130,-0.008488165569442003
131,-0.004039362695139747
132,0.017386574242979392
133,0.23528227088004844
134,0.4074998569627721
135,0.3051905844909294
136,0.1416903942497704
137,0.034974248815919456
138,-0.01727387173308529
139,-0.035674532404946835
140,-0.03486662987912979
141,-0.02579689012942365
142,-0.015884477231251762
143,-0.008488165569442003
144,-0.004039362695139747
145,0.017386574242979392
146,0.23528227088004844
147,0.4074998569627721
148,0.3051905844909294
149,0.1416903942497704
150,0.034974248815919456
151,-0.01727387173308529
152,-0.035674532404946835
153,-0.03486662987912979
154,-0.02579689012942365
155,-0.015884477231251762
156,-0.008488165569442003
157,-0.004039362695139747
158,-0.0017437777391729119
159,-0.0006925926233961772
160,-0.00025299473026104525
161,0.0
162,0.019130351982152304
163,0.23597486350344457
164,0.4077528516930331
165,0.3051905844909294
166,0.1416903942497704
167,0.034974248815919456
168,-0.01727387173308529
169,-0.035674532404946835
170,-0.03486662987912979
171,-0.02579689012942365
172,-0.015884477231251762
173,-0.008488165569442003
174,-0.004039362695139747
175,-0.0017437777391729119
176,-0.0006925926233961772
177,-0.00025299473026104525
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.019130351982152304
204,0.23597486350344457
205,0.4077528516930331
206,0.3051905844909294
207,0.1416903942497704
208,0.034974248815919456
209,-0.01727387173308529
210,-0.035674532404946835
211,-0.03486662987912979
212,-0.02579689012942365
213,-0.015884477231251762
214,-0.008488165569442003
215,-0.004039362695139747
216,-0.0017437777391729119
217,-0.0006925926233961772
218,0.01887735725189126
219,0.23597486350344457
220,0.4077528516930331
221,0.3051905844909294
222,0.1416903942497704
223,0.034974248815919456
224,-0.01727387173308529
225,-0.035674532404946835
226,-0.03486662987912979
227,-0.02579689012942365
228,-0.015884477231251762
229,-0.008488165569442003
230,-0.004039362695139747
231,-0.0017437777391729119
232,-0.0006925926233961772
233,-0.00025299473026104525
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.019130351982152304
249,0.23597486350344457
250,0.4077528516930331
251,0.3051905844909294
252,0.1416903942497704
253,0.034974248815919456
254,-0.01727387173308529
255,-0.035674532404946835
256,-0.03486662987912979
257,-0.02579689012942365
258,-0.015884477231251762
259,-0.008488165569442003
260,-0.004039362695139747
261,-0.0017437777391729119
262,-0.0006925926233961772
263,-0.00025299473026104525
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.019130351982152304
287,0.23597486350344457
288,0.4077528516930331
289,0.3051905844909294
290,0.1416903942497704
291,0.034974248815919456
292,-0.01727387173308529
293,-0.035674532404946835
294,-0.03486662987912979
295,-0.02579689012942365
296,-0.015884477231251762
297,-0.008488165569442003
298,-0.004039362695139747
299,-0.0017437777391729119
300,-0.0006925926233961772
301,-0.00025299473026104525
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.019130351982152304
319,0.23597486350344457
320,0.4077528516930331
321,0.3051905844909294
322,0.1416903942497704
323,0.034974248815919456
324,-0.01727387173308529
325,-0.035674532404946835
326,-0.03486662987912979
327,-0.02579689012942365
328,-0.015884477231251762
329,-0.008488165569442003
330,-0.004039362695139747
331,0.017386574242979392
332,0.23528227088004844
333,0.4074998569627721
334,0.3051905844909294
335,0.1416903942497704
336,0.034974248815919456
337,-0.01727387173308529
338,-0.035674532404946835
339,-0.03486662987912979
340,-0.02579689012942365
341,-0.015884477231251762
342,-0.008488165569442003
343,-0.004039362695139747
344,-0.0017437777391729119
