,presence/absence of delayed_scene_cuts
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.019130351982152304
30,0.23597486350344457
31,0.4077528516930331
32,0.3051905844909294
33,0.1416903942497704
34,0.034974248815919456
35,-0.01727387173308529
36,-0.035674532404946835
37,-0.03486662987912979
38,-0.02579689012942365
39,-0.015884477231251762
40,-0.008488165569442003
41,-0.004039362695139747
42,-0.0017437777391729119
43,-0.0006925926233961772
44,-0.00025299473026104525
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.019130351982152304
75,0.23597486350344457
76,0.4077528516930331
77,0.3051905844909294
78,0.1416903942497704
79,0.034974248815919456
80,-0.01727387173308529
81,-0.035674532404946835
82,-0.03486662987912979
83,-0.02579689012942365
84,-0.015884477231251762
85,-0.008488165569442003
86,-0.004039362695139747
87,-0.0017437777391729119
88,-0.0006925926233961772
89,-0.00025299473026104525
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.019130351982152304
103,0.23597486350344457
104,0.4077528516930331
105,0.3051905844909294
106,0.1416903942497704
107,0.034974248815919456
108,-0.01727387173308529
109,-0.035674532404946835
110,-0.03486662987912979
111,-0.02579689012942365
112,-0.015884477231251762
113,-0.008488165569442003
114,-0.004039362695139747
115,-0.0017437777391729119
116,-0.0006925926233961772
117,-0.00025299473026104525
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.019130351982152304
204,0.23597486350344457
205,0.4077528516930331
206,0.3051905844909294
207,0.1416903942497704
208,0.034974248815919456
209,-0.01727387173308529
210,-0.035674532404946835
211,-0.03486662987912979
212,-0.02579689012942365
213,-0.015884477231251762
214,-0.008488165569442003
215,-0.004039362695139747
216,-0.0017437777391729119
217,-0.0006925926233961772
218,-0.00025299473026104525
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.019130351982152304
249,0.23597486350344457
250,0.4077528516930331
251,0.3051905844909294
252,0.1416903942497704
253,0.034974248815919456
254,-0.01727387173308529
255,-0.035674532404946835
256,-0.03486662987912979
257,-0.02579689012942365
258,-0.015884477231251762
259,-0.008488165569442003
260,-0.004039362695139747
261,-0.0017437777391729119
262,-0.0006925926233961772
263,-0.00025299473026104525
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.019130351982152304
306,0.23597486350344457
307,0.4077528516930331
308,0.3051905844909294
309,0.1416903942497704
310,0.034974248815919456
311,-0.01727387173308529
312,-0.035674532404946835
313,-0.03486662987912979
314,-0.02579689012942365
315,-0.015884477231251762
316,-0.008488165569442003
317,-0.004039362695139747
318,-0.0017437777391729119
319,-0.0006925926233961772
320,-0.00025299473026104525
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.019130351982152304
332,0.23597486350344457
333,0.4077528516930331
334,0.3051905844909294
335,0.1416903942497704
336,0.034974248815919456
337,-0.01727387173308529
338,-0.035674532404946835
339,-0.03486662987912979
340,-0.02579689012942365
341,-0.015884477231251762
342,-0.008488165569442003
343,-0.004039362695139747
344,-0.0017437777391729119
345,-0.0006925926233961772
346,-0.00025299473026104525
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.019130351982152304
360,0.23597486350344457
361,0.4077528516930331
362,0.3051905844909294
363,0.1416903942497704
364,0.034974248815919456
365,-0.01727387173308529
366,-0.035674532404946835
367,-0.03486662987912979
368,-0.02579689012942365
369,-0.015884477231251762
370,-0.008488165569442003
371,-0.004039362695139747
372,-0.0017437777391729119
373,-0.0006925926233961772
374,-0.00025299473026104525
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
