,presence/absence of speaking
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.004082293707791847
28,0.06652635903482657
29,0.10052102070714215
30,0.06841288735749067
31,0.029421373264654327
32,0.005819732523590329
33,-0.005315186688421859
34,-0.008888344327191312
35,-0.008230875661408886
36,-0.0058895334734633585
37,-0.00353228993479141
38,-0.0018459598035457207
39,-0.0008616175419853716
40,-0.0003656756836187444
41,-0.0001430612402372995
42,-5.2156898020574555e-05
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.004082293707791847
73,0.06652635903482657
74,0.10052102070714215
75,0.06841288735749067
76,0.029421373264654327
77,0.005819732523590329
78,-0.005315186688421859
79,-0.008888344327191312
80,-0.008230875661408886
81,-0.0058895334734633585
82,-0.00353228993479141
83,-0.0018459598035457207
84,-0.0008616175419853716
85,-0.0003656756836187444
86,-0.0001430612402372995
87,-5.2156898020574555e-05
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.004082293707791847
101,0.06652635903482657
102,0.10052102070714215
103,0.06841288735749067
104,0.029421373264654327
105,0.005819732523590329
106,-0.005315186688421859
107,-0.008888344327191312
108,-0.008230875661408886
109,-0.0058895334734633585
110,-0.00353228993479141
111,-0.0018459598035457207
112,-0.0008616175419853716
113,-0.0003656756836187444
114,-0.0001430612402372995
115,-5.2156898020574555e-05
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.004082293707791847
202,0.06652635903482657
203,0.10052102070714215
204,0.06841288735749067
205,0.029421373264654327
206,0.005819732523590329
207,-0.005315186688421859
208,-0.008888344327191312
209,-0.008230875661408886
210,-0.0058895334734633585
211,-0.00353228993479141
212,-0.0018459598035457207
213,-0.0008616175419853716
214,-0.0003656756836187444
215,-0.0001430612402372995
216,-5.2156898020574555e-05
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.004082293707791847
247,0.06652635903482657
248,0.10052102070714215
249,0.06841288735749067
250,0.029421373264654327
251,0.005819732523590329
252,-0.005315186688421859
253,-0.008888344327191312
254,-0.008230875661408886
255,-0.0058895334734633585
256,-0.00353228993479141
257,-0.0018459598035457207
258,-0.0008616175419853716
259,-0.0003656756836187444
260,-0.0001430612402372995
261,-5.2156898020574555e-05
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.004082293707791847
304,0.06652635903482657
305,0.10052102070714215
306,0.06841288735749067
307,0.029421373264654327
308,0.005819732523590329
309,-0.005315186688421859
310,-0.008888344327191312
311,-0.008230875661408886
312,-0.0058895334734633585
313,-0.00353228993479141
314,-0.0018459598035457207
315,-0.0008616175419853716
316,-0.0003656756836187444
317,-0.0001430612402372995
318,-5.2156898020574555e-05
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.004082293707791847
330,0.06652635903482657
331,0.10052102070714215
332,0.06841288735749067
333,0.029421373264654327
334,0.005819732523590329
335,-0.005315186688421859
336,-0.008888344327191312
337,-0.008230875661408886
338,-0.0058895334734633585
339,-0.00353228993479141
340,-0.0018459598035457207
341,-0.0008616175419853716
342,-0.0003656756836187444
343,-0.0001430612402372995
344,-5.2156898020574555e-05
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
