,presence/absence of medium_length
0,0.0
1,-0.0009319915068228044
2,-0.012428202805708567
3,-0.03229308532408711
4,-0.047161344568517
5,-0.05406420992940325
6,-0.05576808358966599
7,-0.054926535992413116
8,-0.05318854595217212
9,-0.05148991526575297
10,-0.05023314369534516
11,-0.04945928454818161
12,-0.04904575853326007
13,-0.048848969068625056
14,-0.04876401579415253
15,-0.04873027410224349
16,-0.04871794871794872
17,-0.04871794871794872
18,-0.04871794871794872
19,-0.04871794871794872
20,-0.04871794871794872
21,-0.04871794871794872
22,-0.04871794871794872
23,-0.04871794871794872
24,-0.04871794871794872
25,-0.04871794871794872
26,-0.04871794871794872
27,-0.029587596735796418
28,0.18725691478549586
29,0.35903490297508434
30,0.25647263577298063
31,0.0929724455318216
32,-0.013743699902029321
33,-0.046861468468881756
34,0.151582382380549
35,0.32416827309595453
36,0.230675745643557
37,0.07708796830056985
38,-0.02223186547147132
39,-0.07003118314617382
40,-0.08613625886206851
41,-0.08427717122047473
42,-0.07476783357763347
43,-0.06460242594920054
44,-0.05720611428739077
45,-0.05275731141308852
46,-0.05046172645712168
47,-0.04941054134134495
48,-0.04897094344820981
49,-0.029587596735796466
50,0.18725691478549583
51,0.35903490297508434
52,0.25647263577298063
53,0.09297244553182163
54,-0.013743699902029316
55,-0.06599182045103405
56,-0.0843924811228956
57,-0.08358457859707856
58,-0.07451483884737242
59,-0.06460242594920054
60,-0.05720611428739077
61,-0.05275731141308852
62,-0.05046172645712168
63,-0.030280189359192643
64,0.18700392005523475
65,0.35903490297508434
66,0.25647263577298063
67,0.09297244553182163
68,-0.013743699902029316
69,-0.06599182045103405
70,-0.0843924811228956
71,-0.08358457859707856
72,-0.055384486865220114
73,0.17137243755424406
74,0.35054673740564235
75,0.2524332730778409
76,0.09122866779264871
77,-0.014436292525425491
78,-0.0662448151812951
79,-0.0843924811228956
80,-0.08358457859707856
81,-0.07451483884737242
82,-0.06460242594920054
83,-0.03807576230523847
84,0.18321755209035606
85,0.35729112523591144
86,0.25578004314958447
87,0.09271945080156058
88,-0.013743699902029316
89,-0.06599182045103405
90,-0.0843924811228956
91,-0.08358457859707856
92,-0.07451483884737242
93,-0.06460242594920054
94,-0.05720611428739077
95,-0.05275731141308852
96,-0.05046172645712168
97,-0.04941054134134495
98,-0.04897094344820981
99,-0.048717948717948774
100,-0.029587596735796466
101,0.18725691478549583
102,0.35903490297508434
103,0.25647263577298063
104,0.09297244553182163
105,0.0053866520801229886
106,0.16998304305241052
107,0.32336037057013756
108,0.22160600589385085
109,0.06717555540239796
110,-0.02962817713328108
111,-0.07447998602047606
112,-0.08843184381803534
113,-0.08532835633625148
114,-0.0752074314707686
115,-0.06485542067946158
116,-0.05720611428739077
117,-0.033626959430936215
118,0.1855131370463229
119,0.3583423103516882
120,0.2562196410427196
121,0.09297244553182163
122,-0.013743699902029316
123,-0.06599182045103405
124,-0.0843924811228956
125,-0.08358457859707856
126,-0.07451483884737242
127,-0.06460242594920054
128,-0.05720611428739077
129,-0.05275731141308852
130,-0.03133137447496938
131,0.18656432216209964
132,0.35878190824482326
133,0.25647263577298063
134,0.09297244553182163
135,-0.013743699902029316
136,-0.06599182045103405
137,-0.0843924811228956
138,-0.08358457859707856
139,-0.07451483884737242
140,-0.06460242594920054
141,-0.05720611428739077
142,-0.05275731141308852
143,-0.03133137447496938
144,0.18656432216209964
145,0.35878190824482326
146,0.25647263577298063
147,0.09297244553182163
148,-0.013743699902029316
149,-0.06599182045103405
150,-0.0843924811228956
151,-0.08358457859707856
152,-0.07451483884737242
153,-0.06460242594920054
154,-0.05720611428739077
155,-0.05275731141308852
156,-0.05046172645712168
157,-0.04941054134134495
158,-0.04897094344820981
159,-0.048717948717948774
160,-0.029587596735796466
161,0.18725691478549583
162,0.35903490297508434
163,0.25647263577298063
164,0.09297244553182163
165,-0.013743699902029316
166,-0.06599182045103405
167,-0.0843924811228956
168,-0.08358457859707856
169,-0.07451483884737242
170,-0.06460242594920054
171,-0.05720611428739077
172,-0.05275731141308852
173,-0.05046172645712168
174,-0.04941054134134495
175,-0.04897094344820981
176,-0.048717948717948774
177,-0.048717948717948774
178,-0.048717948717948774
179,-0.048717948717948774
180,-0.048717948717948774
181,-0.048717948717948774
182,-0.048717948717948774
183,-0.048717948717948774
184,-0.048717948717948774
185,-0.048717948717948774
186,-0.048717948717948774
187,-0.048717948717948774
188,-0.048717948717948774
189,-0.048717948717948774
190,-0.048717948717948774
191,-0.048717948717948774
192,-0.048717948717948774
193,-0.048717948717948774
194,-0.048717948717948774
195,-0.048717948717948774
196,-0.048717948717948774
197,-0.048717948717948774
198,-0.048717948717948774
199,-0.048717948717948774
200,-0.048717948717948774
201,-0.029587596735796466
202,0.18725691478549583
203,0.35903490297508434
204,0.25647263577298063
205,0.09297244553182163
206,-0.013743699902029316
207,-0.06599182045103405
208,-0.0843924811228956
209,-0.08358457859707856
210,-0.07451483884737242
211,-0.06460242594920054
212,-0.05720611428739077
213,-0.05275731141308852
214,-0.05046172645712168
215,-0.04941054134134495
216,-0.02984059146605751
217,0.18725691478549583
218,0.35903490297508434
219,0.25647263577298063
220,0.09297244553182163
221,-0.013743699902029316
222,-0.06599182045103405
223,-0.0843924811228956
224,-0.08358457859707856
225,-0.07451483884737242
226,-0.06460242594920054
227,-0.05720611428739077
228,-0.05275731141308852
229,-0.05046172645712168
230,-0.04941054134134495
231,-0.04897094344820981
232,-0.048717948717948774
233,-0.048717948717948774
234,-0.048717948717948774
235,-0.048717948717948774
236,-0.048717948717948774
237,-0.048717948717948774
238,-0.048717948717948774
239,-0.048717948717948774
240,-0.048717948717948774
241,-0.048717948717948774
242,-0.048717948717948774
243,-0.048717948717948774
244,-0.048717948717948774
245,-0.048717948717948774
246,-0.029587596735796466
247,0.18725691478549583
248,0.35903490297508434
249,0.25647263577298063
250,0.09297244553182163
251,-0.013743699902029316
252,-0.06599182045103405
253,-0.0843924811228956
254,-0.08358457859707856
255,-0.07451483884737242
256,-0.06460242594920054
257,-0.05720611428739077
258,-0.05275731141308852
259,-0.05046172645712168
260,-0.04941054134134495
261,-0.04897094344820981
262,-0.048717948717948774
263,-0.048717948717948774
264,-0.048717948717948774
265,-0.048717948717948774
266,-0.048717948717948774
267,-0.048717948717948774
268,-0.048717948717948774
269,-0.048717948717948774
270,-0.048717948717948774
271,-0.048717948717948774
272,-0.048717948717948774
273,-0.048717948717948774
274,-0.048717948717948774
275,-0.048717948717948774
276,-0.048717948717948774
277,-0.048717948717948774
278,-0.048717948717948774
279,-0.048717948717948774
280,-0.048717948717948774
281,-0.048717948717948774
282,-0.048717948717948774
283,-0.048717948717948774
284,-0.029587596735796466
285,0.18725691478549583
286,0.35903490297508434
287,0.25647263577298063
288,0.09297244553182163
289,-0.013743699902029316
290,-0.06599182045103405
291,-0.0843924811228956
292,-0.08358457859707856
293,-0.07451483884737242
294,-0.06460242594920054
295,-0.05720611428739077
296,-0.05275731141308852
297,-0.05046172645712168
298,-0.04941054134134495
299,-0.04897094344820981
300,-0.048717948717948774
301,-0.048717948717948774
302,-0.048717948717948774
303,-0.048717948717948774
304,-0.048717948717948774
305,-0.048717948717948774
306,-0.048717948717948774
307,-0.048717948717948774
308,-0.048717948717948774
309,-0.048717948717948774
310,-0.048717948717948774
311,-0.048717948717948774
312,-0.048717948717948774
313,-0.048717948717948774
314,-0.048717948717948774
315,-0.048717948717948774
316,-0.029587596735796466
317,0.18725691478549583
318,0.35903490297508434
319,0.25647263577298063
320,0.09297244553182163
321,-0.013743699902029316
322,-0.06599182045103405
323,-0.0843924811228956
324,-0.08358457859707856
325,-0.07451483884737242
326,-0.06460242594920054
327,-0.05720611428739077
328,-0.05275731141308852
329,-0.03133137447496938
330,0.18656432216209964
331,0.35878190824482326
332,0.25647263577298063
333,0.09297244553182163
334,-0.013743699902029316
335,-0.06599182045103405
336,-0.0843924811228956
337,-0.08358457859707856
338,-0.07451483884737242
339,-0.06460242594920054
340,-0.05720611428739077
341,-0.05275731141308852
342,-0.05046172645712168
343,-0.04941054134134495
344,-0.04897094344820981
345,-0.048717948717948774
346,-0.048717948717948774
347,-0.048717948717948774
348,-0.048717948717948774
349,-0.048717948717948774
350,-0.048717948717948774
351,-0.048717948717948774
352,-0.048717948717948774
353,-0.048717948717948774
354,-0.048717948717948774
355,-0.048717948717948774
356,-0.048717948717948774
357,-0.029587596735796466
358,0.18725691478549583
359,0.35903490297508434
360,0.25647263577298063
361,0.09297244553182163
362,-0.013743699902029316
363,-0.06599182045103405
364,-0.0843924811228956
365,-0.08358457859707856
366,-0.07451483884737242
367,-0.06460242594920054
368,-0.05720611428739077
369,-0.05275731141308852
370,-0.05046172645712168
371,-0.04941054134134495
372,-0.04897094344820981
373,-0.048717948717948774
374,-0.048717948717948774
375,-0.048717948717948774
376,-0.048717948717948774
377,-0.048717948717948774
378,-0.048717948717948774
379,-0.048717948717948774
380,-0.048717948717948774
381,-0.048717948717948774
382,-0.048717948717948774
383,-0.048717948717948774
384,-0.048717948717948774
385,-0.048717948717948774
386,-0.048717948717948774
387,-0.048717948717948774
388,-0.048717948717948774
