,presence/absence of medium_length
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.019130351982152304
28,0.23597486350344457
29,0.4077528516930331
30,0.3051905844909294
31,0.1416903942497704
32,0.034974248815919456
33,0.0018564802490670129
34,0.20030033109849776
35,0.3728862218139033
36,0.27939369436150574
37,0.12580591701851862
38,0.02648608324647745
39,-0.02131323442822504
40,-0.03741831014411974
41,-0.03555922250252597
42,-0.026049884859684694
43,-0.015884477231251762
44,-0.008488165569442003
45,-0.004039362695139747
46,-0.0017437777391729119
47,-0.0006925926233961772
48,-0.00025299473026104525
49,0.019130351982152304
50,0.23597486350344457
51,0.4077528516930331
52,0.3051905844909294
53,0.1416903942497704
54,0.034974248815919456
55,-0.01727387173308529
56,-0.035674532404946835
57,-0.03486662987912979
58,-0.02579689012942365
59,-0.015884477231251762
60,-0.008488165569442003
61,-0.004039362695139747
62,-0.0017437777391729119
63,0.018437759358756127
64,0.23572186877318355
65,0.4077528516930331
66,0.3051905844909294
67,0.1416903942497704
68,0.034974248815919456
69,-0.01727387173308529
70,-0.035674532404946835
71,-0.03486662987912979
72,-0.0066665381472713475
73,0.22009038627219285
74,0.3992646861235911
75,0.3011512217957897
76,0.13994661651059748
77,0.03428165619252328
78,-0.017526866463346336
79,-0.035674532404946835
80,-0.03486662987912979
81,-0.02579689012942365
82,-0.015884477231251762
83,0.010642186412710301
84,0.23193550080830483
85,0.4060090739538602
86,0.30449799186753324
87,0.14143739951950934
88,0.034974248815919456
89,-0.01727387173308529
90,-0.035674532404946835
91,-0.03486662987912979
92,-0.02579689012942365
93,-0.015884477231251762
94,-0.008488165569442003
95,-0.004039362695139747
96,-0.0017437777391729119
97,-0.0006925926233961772
98,-0.00025299473026104525
99,0.0
100,0.019130351982152304
101,0.23597486350344457
102,0.4077528516930331
103,0.3051905844909294
104,0.1416903942497704
105,0.05410460079807176
106,0.2187009917703593
107,0.37207831928808627
108,0.2703239546117996
109,0.11589350412034673
110,0.019089771584667688
111,-0.025762037302527296
112,-0.03971389510008658
113,-0.036610407618302705
114,-0.02648948275281983
115,-0.016137471961512807
116,-0.008488165569442003
117,0.015090989287012557
118,0.23423108576427168
119,0.40706025906963694
120,0.30493758976066837
121,0.1416903942497704
122,0.034974248815919456
123,-0.01727387173308529
124,-0.035674532404946835
125,-0.03486662987912979
126,-0.02579689012942365
127,-0.015884477231251762
128,-0.008488165569442003
129,-0.004039362695139747
130,0.017386574242979392
131,0.23528227088004844
132,0.4074998569627721
133,0.3051905844909294
134,0.1416903942497704
135,0.034974248815919456
136,-0.01727387173308529
137,-0.035674532404946835
138,-0.03486662987912979
139,-0.02579689012942365
140,-0.015884477231251762
141,-0.008488165569442003
142,-0.004039362695139747
143,0.017386574242979392
144,0.23528227088004844
145,0.4074998569627721
146,0.3051905844909294
147,0.1416903942497704
148,0.034974248815919456
149,-0.01727387173308529
150,-0.035674532404946835
151,-0.03486662987912979
152,-0.02579689012942365
153,-0.015884477231251762
154,-0.008488165569442003
155,-0.004039362695139747
156,-0.0017437777391729119
157,-0.0006925926233961772
158,-0.00025299473026104525
159,0.0
160,0.019130351982152304
161,0.23597486350344457
162,0.4077528516930331
163,0.3051905844909294
164,0.1416903942497704
165,0.034974248815919456
166,-0.01727387173308529
167,-0.035674532404946835
168,-0.03486662987912979
169,-0.02579689012942365
170,-0.015884477231251762
171,-0.008488165569442003
172,-0.004039362695139747
173,-0.0017437777391729119
174,-0.0006925926233961772
175,-0.00025299473026104525
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.019130351982152304
202,0.23597486350344457
203,0.4077528516930331
204,0.3051905844909294
205,0.1416903942497704
206,0.034974248815919456
207,-0.01727387173308529
208,-0.035674532404946835
209,-0.03486662987912979
210,-0.02579689012942365
211,-0.015884477231251762
212,-0.008488165569442003
213,-0.004039362695139747
214,-0.0017437777391729119
215,-0.0006925926233961772
216,0.01887735725189126
217,0.23597486350344457
218,0.4077528516930331
219,0.3051905844909294
220,0.1416903942497704
221,0.034974248815919456
222,-0.01727387173308529
223,-0.035674532404946835
224,-0.03486662987912979
225,-0.02579689012942365
226,-0.015884477231251762
227,-0.008488165569442003
228,-0.004039362695139747
229,-0.0017437777391729119
230,-0.0006925926233961772
231,-0.00025299473026104525
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.019130351982152304
247,0.23597486350344457
248,0.4077528516930331
249,0.3051905844909294
250,0.1416903942497704
251,0.034974248815919456
252,-0.01727387173308529
253,-0.035674532404946835
254,-0.03486662987912979
255,-0.02579689012942365
256,-0.015884477231251762
257,-0.008488165569442003
258,-0.004039362695139747
259,-0.0017437777391729119
260,-0.0006925926233961772
261,-0.00025299473026104525
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.019130351982152304
285,0.23597486350344457
286,0.4077528516930331
287,0.3051905844909294
288,0.1416903942497704
289,0.034974248815919456
290,-0.01727387173308529
291,-0.035674532404946835
292,-0.03486662987912979
293,-0.02579689012942365
294,-0.015884477231251762
295,-0.008488165569442003
296,-0.004039362695139747
297,-0.0017437777391729119
298,-0.0006925926233961772
299,-0.00025299473026104525
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.019130351982152304
317,0.23597486350344457
318,0.4077528516930331
319,0.3051905844909294
320,0.1416903942497704
321,0.034974248815919456
322,-0.01727387173308529
323,-0.035674532404946835
324,-0.03486662987912979
325,-0.02579689012942365
326,-0.015884477231251762
327,-0.008488165569442003
328,-0.004039362695139747
329,0.017386574242979392
330,0.23528227088004844
331,0.4074998569627721
332,0.3051905844909294
333,0.1416903942497704
334,0.034974248815919456
335,-0.01727387173308529
336,-0.035674532404946835
337,-0.03486662987912979
338,-0.02579689012942365
339,-0.015884477231251762
340,-0.008488165569442003
341,-0.004039362695139747
342,-0.0017437777391729119
343,-0.0006925926233961772
344,-0.00025299473026104525
