,camera_cut,drift_1,drift_2,drift_3,drift_4,drift_5,drift_6,drift_7,drift_8,drift_9,drift_10,drift_11,drift_12,drift_13,drift_14,drift_15,constant
0,0.0,0.07170288934984867,0.07170113559430438,0.07169821270017086,0.071694120715108,0.07168885970583855,0.07168242975814706,0.07167483097687845,0.07166606348593632,0.0716561274282809,0.07164502296592677,0.07163275027994018,0.07161930957043608,0.07160470105657493,0.07158892497655904,0.07157198158762877,1.0
2,0.0,0.07169821270017086,0.07168242975814706,0.0716561274282809,0.07161930957043608,0.07157198158762877,0.07151415042523465,0.07144582456996981,0.07136701404864518,0.07127773042669515,0.0711779868064804,0.07106779782536506,0.07094717965356866,0.07081614999179325,0.07067472806862576,0.0705229346377162,1.0
4,0.01958655843831909,0.07168885970583855,0.07164502296592677,0.07157198158762877,0.07146976534477881,0.07133841590375212,0.0711779868064804,0.07098854344862661,0.07077016305292766,0.0705229346377162,0.07024695898063409,0.06994234857755242,0.06960922759671488,0.06924773182812309,0.06885800862818457,0.06844021685964584,1.0
6,0.256813470002598,0.07167483097687845,0.07158892497655904,0.07144582456996981,0.07124564408405162,0.07098854344862661,0.07067472806862576,0.07030444865998516,0.06987800104934191,0.06939572593768999,0.06885800862818457,0.06826527871831253,0.06761800975667491,0.06691671886465567,0.06616196632327877,0.06535435512558396,1.0
8,0.6643205770280595,0.0716561274282809,0.07151415042523465,0.07127773042669515,0.07094717965356866,0.0705229346377162,0.07000555564546107,0.06939572593768999,0.0686942508675254,0.0679020568167602,0.06702018997245979,0.06604981494534674,0.06499221323179301,0.06384878152145053,0.0626210298527554,0.06131057961874137,1.0
10,0.96870445436506,0.07163275027994018,0.07142071881960149,0.07106779782536506,0.07057468349400961,0.06994234857755242,0.06917204046433006,0.06826527871831253,0.06722385208150444,0.06604981494534674,0.06474548329807962,0.0633134301560612,0.06175648048805446,0.06007770564249518,0.058280417288733906,0.05636816088420409,1.0
12,1.1099135859311304,0.07160470105657493,0.07130865453467526,0.07081614999179325,0.07012854429643878,0.0692477318281231,0.06817613925827215,0.06691671886465567,0.06547294039775106,0.06384878152145053,0.06204871685444773,0.06007770564249518,0.05794117809549602,0.05564502042707182,0.05319555863782302,0.05059954108695968,1.0
14,1.1447160920089536,0.07157198158762877,0.0711779868064804,0.0705229346377162,0.06960922759671488,0.06844021685964584,0.06702018997245979,0.06535435512558396,0.06344882205199669,0.06131057961874137,0.058947470194066404,0.05636816088420409,0.05358211174528274,0.05059954108695968,0.047431387995030626,0.04408927221046963,1.0
16,1.1274174178249687,0.07153459400715087,0.07102874972442283,0.07018832387408944,0.06901727528971531,0.06752112020624224,0.06570690627571465,0.063583179369251,0.06115994332164049,0.058448612808189054,0.055461959575787964,0.0522140522814848,0.048720190221947214,0.04499683126598763,0.041061514329623516,0.036932776758854924,1.0
18,1.091766687706031,0.0714925407536569,0.07086098222239642,0.06981251411006228,0.06835330506388138,0.0664919403195231,0.06423937118998731,0.06160885063371008,0.05861585528097129,0.055277994377360404,0.051614906180030555,0.047648142416291867,0.04340104148433035,0.03889859114207412,0.03416728149207501,0.029234949127366985,1.0
